Order,Symbol,dynamicColors_GRS3_prot,mergedColors_prot,mergedColors_rm,Consensus_GRS3
118,NMNAT1,navajowhite2,navajowhite2,lavenderblush3,pink
119,RN7SKP269,brown,brown,blue,green
120,MIR5697,black,black,lightgreen,cyan
121,RBP7,darkolivegreen,darkolivegreen,steelblue,skyblue3
122,UBE4B,green,green,brown,brown
123,PGAM1P11,grey,grey,brown,lightyellow
124,RNU6-828P,grey,grey,grey,grey
125,KIF1B,plum1,darkslateblue,cyan,lightyellow
126,MIR1273D,grey,grey,grey,grey
127,RNU6-37P,black,black,lightgreen,cyan
128,PGD,blue,blue,blue,green
129,APITD1,turquoise,turquoise,thistle1,pink
130,CORT,lightpink4,lightpink4,brown4,blue
131,DFFA,violet,darkorange2,darkred,salmon
132,PEX14,brown,brown,coral2,green
133,RN7SL614P,blue,blue,blue,grey
134,TARDBP,grey60,grey60,grey,darkorange
135,SRM,brown,brown,black,green
136,EXOSC10,maroon,maroon,sienna3,green
137,MTOR,darkslateblue,darkslateblue,black,purple
138,UBIAD1,brown,brown,black,brown
139,DISP3,brown,brown,coral2,green
140,FBXO2,blue,blue,blue,blue
141,FBXO44,blue,blue,blue,blue
142,FBXO6,blue,blue,blue,blue
143,MAD2L2,blue,blue,brown4,blue
144,DRAXIN,purple,purple,black,steelblue
145,AGTRAP,blue,blue,blue,salmon
146,MTHFR,purple,purple,coral2,green
147,CLCN6,green,green,brown,brown
148,NPPA,grey,grey,brown4,blue
149,RNU5E-1,grey,grey,grey,cyan
150,KIAA2013,blue,blue,blue,blue
151,PLOD1,violet,darkorange2,darkred,skyblue
152,MFN2,purple,purple,black,green
153,MIIP,royalblue,royalblue,coral2,salmon
154,TNFRSF1B,white,white,darkorange,orange
155,VPS13D,plum1,darkslateblue,cyan,lightyellow
156,SNORA59A,blue,blue,blue,salmon
157,DHRS3,brown,brown,grey,salmon
158,LRRC38,grey,grey,grey,purple
159,PDPN,grey,grey,grey,grey
160,PRDM2,cyan,cyan,cyan,lightyellow
161,KAZN,green,green,brown,brown
162,TMEM51-AS1,brown,brown,coral2,brown
163,TMEM51,yellowgreen,grey60,lavenderblush3,grey
164,FHAD1,green,green,brown,brown
165,EFHD2,brown,brown,coral2,green
166,CASP9,red,red,brown,brown
167,DNAJC16,darkslateblue,darkslateblue,grey,purple
168,AGMAT,blue,blue,blue,blue
169,CHCHD2P6,brown,brown,coral2,brown
170,DDI2,darkorange,darkorange,saddlebrown,violet
171,PLEKHM2,brown,brown,blue,green
172,SLC25A34,red,red,brown,brown
173,FBLIM1,lightyellow,lightyellow,midnightblue,grey60
174,UQCRHL,blue,blue,skyblue3,red
175,SPEN,cyan,cyan,cyan,lightyellow
176,ZBTB17,salmon,honeydew1,coral2,red
177,C1orf64,lavenderblush3,lavenderblush3,skyblue2,orange
178,HSPB7,grey,grey,grey,grey
179,FAM131C,blue,blue,blue,blue
180,EPHA2,white,white,darkorange,orange
181,ANO7P1,brown,brown,coral2,green
182,RSG1,blue,blue,blue,red
183,MT1XP1,grey,grey,grey,grey
184,FBXO42,cyan,cyan,black,brown
185,SZRD1,brown,brown,blue,green
186,NECAP2,brown,brown,coral2,salmon
187,CROCCP3,red,red,coral2,brown
188,RNU1-1,grey60,grey60,paleturquoise,darkgreen
189,NBPF1,grey,grey,blue,grey
190,CROCCP2,salmon,honeydew1,coral2,red
191,MST1P2,brown,brown,coral2,red
192,EIF1AXP1,yellow,plum2,lightcyan1,turquoise
193,CROCC,salmon,honeydew1,coral2,brown
194,RNU1-4,mediumpurple3,mediumpurple3,lightsteelblue1,lightsteelblue1
195,RNU1-2,green,green,brown,brown
196,ATP13A2,purple,purple,black,green
197,SDHB,orangered4,orangered4,brown4,sienna3
198,PADI2,steelblue,steelblue,violet,yellowgreen
199,RCC2,salmon4,brown,coral2,green
200,ARHGEF10L,blue,blue,coral2,green
201,IGSF21,purple,purple,black,green
202,PAX7,green,green,black,purple
203,ALDH4A1,blue,blue,blue,blue
204,IFFO2,green,green,brown,brown
205,UBR4,paleturquoise,cyan,brown,lightyellow
206,EMC1,paleturquoise,cyan,brown,lightyellow
207,MRTO4,midnightblue,darkturquoise,brown4,blue
208,AKR7L,grey,grey,thistle1,grey
209,AKR7A3,brown,brown,blue,grey
210,AKR7A2,blue,blue,blue,blue
211,RNU6-1099P,darkorange,darkorange,cyan,grey
212,PQLC2,tan,tan,coral2,red
213,CAPZB,grey,grey,grey,blue
214,MINOS1,magenta,darkred,grey60,pink
215,NBL1,blue,blue,blue,blue
216,HTR6,tan,tan,black,green
217,TMCO4,brown,brown,coral2,green
218,OTUD3,yellow,plum2,lightcyan1,turquoise
219,PLA2G5,blue,blue,brown4,blue
220,UBXN10-AS1,turquoise,turquoise,thistle1,grey
221,UBXN10,blue,blue,black,green
222,LINC01141,brown,brown,tan,green
223,CAMK2N1,cyan,cyan,cyan,lightyellow
224,MUL1,blue,blue,blue,red
225,FAM43B,greenyellow,greenyellow,coral2,brown
226,PINK1,darkturquoise,darkturquoise,brown4,blue
227,PINK1-AS,grey,grey,grey,grey
228,DDOST,darkturquoise,darkturquoise,brown4,blue
229,KIF17,blue,blue,black,green
230,SH2D5,blue,blue,blue,green
231,HP1BP3,grey60,grey60,paleturquoise,darkgreen
232,EIF4G3,cyan,cyan,cyan,lightyellow
233,MIR1256,lightyellow,lightyellow,grey,grey
234,RPS15AP6,orange,orange,grey,grey
235,ECE1,green,green,brown,brown
236,NBPF2P,grey,grey,grey,grey
237,HS6ST1P1,green,green,brown,brown
238,NBPF3,grey,grey,grey,grey
239,ALPL,brown,brown,black,green
240,RAP1GAP,purple,purple,coral2,green
241,USP48,orange,orange,darkgreen,darkolivegreen
242,HSPG2,lightyellow,lightyellow,midnightblue,grey60
243,LINC00339,grey,grey,grey,grey
244,CDC42,magenta,darkred,grey60,pink
245,CDC42-IT1,grey,grey,grey,grey
246,WNT4,brown,brown,black,green
247,ZBTB40,darkorange2,darkorange2,darkred,skyblue
248,ZBTB40-IT1,grey,grey,grey,grey
249,EPHA8,brown,brown,brown,green
250,C1QA,pink,pink,tan,midnightblue
251,C1QC,pink,pink,tan,midnightblue
252,C1QB,pink,pink,tan,midnightblue
253,EPHB2,brown,brown,coral2,green
254,C1orf234,grey,grey,thistle1,grey
255,KDM1A,turquoise,turquoise,thistle1,turquoise
256,LUZP1,red,red,brown,brown
257,HTR1D,grey,grey,grey,grey
258,LINC01355,grey60,grey60,lightcyan,darkgreen
259,HNRNPR,skyblue3,skyblue3,lightgreen,brown4
260,ZNF436,salmon,honeydew1,grey,grey
261,ZNF436-AS1,grey,grey,grey,grey
262,TCEA3,grey,grey,grey,brown
263,ASAP3,brown,brown,coral2,brown
264,ID3,grey,grey,grey,grey
265,RPL11,skyblue3,skyblue3,lightpink4,plum2
266,TCEB3,grey,grey,grey,brown
267,TCEB3-AS1,grey,grey,grey,grey
268,PITHD1,midnightblue,darkturquoise,brown4,blue
269,LYPLA2,blue,blue,blue,blue
270,GALE,darkturquoise,darkturquoise,brown4,blue
271,HMGCL,darkred,darkred,skyblue,pink
272,FUCA1,turquoise,turquoise,thistle1,turquoise
273,PNRC2,grey60,grey60,paleturquoise,darkgreen
274,SRSF10,saddlebrown,navajowhite2,lavenderblush3,darkorange
275,IFNLR1,brown,brown,black,green
276,STPG1,blue,blue,blue,green
277,NIPAL3,green,green,brown,purple
278,RCAN3,yellow,plum2,lightcyan1,turquoise
279,SRRM1,orange,orange,lightgreen,darkolivegreen
280,CLIC4,turquoise,turquoise,thistle1,turquoise
281,SYF2,skyblue3,skyblue3,lightgreen,pink
282,RSRP1,floralwhite,floralwhite,grey,grey
283,SDHDP6,grey,grey,blue,grey
284,TMEM50A,turquoise,turquoise,thistle1,turquoise
285,RHCE,grey,grey,grey,blue
286,TMEM57,black,black,lightcyan,darkgreen
287,LDLRAP1,steelblue,steelblue,coral2,brown
288,MAN1C1,green,green,brown,brown
289,SEPN1,red,red,brown,green
290,MTFR1L,blue,blue,blue,salmon
291,AUNIP,turquoise,turquoise,greenyellow,turquoise
292,PAQR7,blue,blue,antiquewhite4,blue
293,STMN1,turquoise,turquoise,lightcyan1,turquoise
294,PAFAH2,grey,grey,darkmagenta,grey
295,EXTL1,brown,brown,coral2,red
296,PDIK1L,saddlebrown,navajowhite2,lavenderblush3,darkorange
297,FAM110D,blue,blue,blue,blue
298,ZNF593,blue,blue,blue,blue
299,CNKSR1,red,red,brown,brown
300,CEP85,brown,brown,blue,green
301,SH3BGRL3,royalblue,royalblue,coral2,salmon
302,UBXN11,tan,tan,coral2,red
303,CD52,salmon,honeydew1,coral2,red
304,DHDDS,blue,blue,blue,blue
305,HMGN2,turquoise,turquoise,thistle1,pink
306,RPS6KA1,pink,pink,tan,midnightblue
307,ARID1A,green,green,brown,brown
308,PIGV,blue,blue,blue,blue
309,ZDHHC18,brown,brown,brown,brown
310,GPN2,brown,brown,coral2,red
311,GPATCH3,blue,blue,blue,blue
312,NUDC,brown,brown,coral2,brown
313,TRNP1,brown,brown,coral2,brown
314,SLC9A1,green,green,brown,purple
315,CHCHD3P3,greenyellow,greenyellow,coral2,brown
316,NPM1P39,grey,grey,grey,cyan
317,WDTC1,green,green,brown,brown
318,TMEM222,blue,blue,brown4,blue
319,RNU6-48P,green,green,brown,brown
320,ACTG1P20,red,red,brown,brown
321,MAP3K6,red,red,coral2,brown
322,GPR3,blue,blue,darkslateblue,green
323,WASF2,red,red,brown,brown
324,AHDC1,green,green,brown,brown
325,FGR,lightyellow,lightyellow,midnightblue,brown
326,IFI6,darkturquoise,darkturquoise,brown4,blue
327,FAM76A,lightgreen,lightgreen,thistle1,turquoise
328,RPEP3,yellow,plum2,thistle1,turquoise
329,STX12,turquoise,turquoise,thistle1,turquoise
330,PPP1R8,lightcyan1,lightcyan1,grey60,pink
331,SCARNA1,saddlebrown,navajowhite2,grey,grey
332,THEMIS2,purple,purple,black,purple
333,RPA2,magenta,darkred,grey60,pink
334,SMPDL3B,darkmagenta,darkmagenta,plum1,green
335,XKR8,brown,brown,coral2,red
336,EYA3,grey,grey,darkred,lightcyan1
337,RN7SL559P,blue,blue,black,green
338,SPCS2P4,grey,grey,grey,grey
339,PTAFR,pink,pink,tan,midnightblue
340,DNAJC8,turquoise,turquoise,thistle1,turquoise
341,ATPIF1,lightpink4,lightpink4,salmon4,pink
342,SESN2,violet,darkorange2,darkred,brown
343,MED18,darkred,darkred,grey60,pink
344,PHACTR4,orange,orange,cyan,lightyellow
345,RNU6ATAC27P,grey,grey,grey,grey
346,RCC1,violet,darkorange2,darkred,skyblue
347,SNHG3,grey,grey,coral2,grey
348,SNORA73B,sienna3,sienna3,orangered4,mediumpurple3
349,TRNAU1AP,royalblue,royalblue,blue,salmon
350,SNHG12,darkseagreen4,darkseagreen4,lavenderblush3,darkorange
351,SNORD99,yellow,plum2,lightcyan1,turquoise
352,TAF12,royalblue,royalblue,coral2,salmon
353,GMEB1,grey,grey,black,grey
354,YTHDF2,turquoise,turquoise,grey60,pink
355,OPRD1,brown,brown,coral2,green
356,EPB41,yellow,plum2,grey,turquoise
357,TMEM200B,lightgreen,lightgreen,grey,blue
358,SRSF4,orange,orange,lightcyan,darkolivegreen
359,MECR,blue,blue,blue,blue
360,PTPRU,green,green,brown,brown
361,MATN1-AS1,steelblue,steelblue,violet,blue
362,LAPTM5,pink,pink,tan,midnightblue
363,SDC3,blue,blue,blue,blue
364,PUM1,red,red,black,brown
365,NKAIN1,blue,blue,blue,blue
366,SNRNP40,midnightblue,darkturquoise,brown4,blue
367,ZCCHC17,turquoise,turquoise,grey60,turquoise
368,FABP3,blue,blue,brown4,blue
369,TINAGL1,lightyellow,lightyellow,brown,grey60
370,HCRTR1,tan,tan,coral2,red
371,PEF1,blue,blue,blue,blue
372,COL16A1,blue,blue,blue,blue
373,ADGRB2,greenyellow,greenyellow,coral2,green
374,MIR4254,blue,blue,blue,blue
375,PTP4A2,steelblue,steelblue,violet,turquoise
376,KHDRBS1,yellow,plum2,lightcyan1,turquoise
377,TMEM39B,purple,purple,black,green
378,MIR5585,grey,grey,grey,grey
379,KPNA6,blue,blue,black,green
380,TXLNA,brown,brown,maroon,brown
381,CCDC28B,midnightblue,darkturquoise,brown4,blue
382,IQCC,blue,blue,blue,blue
383,TMEM234,blue,blue,blue,blue
384,EIF3I,blue,blue,brown4,blue
385,MTMR9LP,royalblue,royalblue,blue,red
386,HDAC1,grey60,grey60,grey,grey
387,MARCKSL1,darkolivegreen,darkolivegreen,steelblue,skyblue3
388,TSSK3,blue,blue,blue,blue
389,FAM229A,red,red,brown,brown
390,BSDC1,blue,blue,blue,blue
391,ZBTB8B,yellowgreen,grey60,paleturquoise,skyblue
392,ZBTB8A,turquoise,turquoise,thistle1,turquoise
393,ZBTB8OS,skyblue3,skyblue3,thistle1,turquoise
394,RBBP4,turquoise,turquoise,lightcyan1,turquoise
395,SYNC,turquoise,turquoise,thistle1,turquoise
396,KIAA1522,green,green,brown,brown
397,YARS,green,green,brown,brown
398,S100PBP,yellow,plum2,darkturquoise,magenta
399,FNDC5,blue,blue,blue,blue
400,HPCA,blue,blue,blue,green
401,TMEM54,blue,blue,blue,salmon
402,RNF19B,red,red,brown,brown
403,AK2,blue,blue,blue,salmon
404,AZIN2,brown,brown,coral2,green
405,TRIM62,green,green,brown,brown
406,ZNF362,brown,brown,coral2,green
407,PHC2,purple,purple,black,purple
408,RN7SKP16,green,green,brown,brown
409,ZSCAN20,darkorange2,darkorange2,brown,brown
410,CSMD2,green,green,brown,brown
411,SMIM12,blue,blue,blue,blue
412,GJB5,blue,blue,black,green
413,GJA4,white,white,midnightblue,grey
414,DLGAP3,brown,brown,coral2,brown
415,ZMYM6,yellow,plum2,greenyellow,magenta
416,ZMYM1,turquoise,turquoise,lightcyan1,magenta
417,SFPQ,grey60,grey60,mediumpurple3,darkorange
418,ZMYM4,darkgreen,darkgreen,lightcyan,cyan
419,RPL5P4,yellow,plum2,darkturquoise,turquoise
420,KIAA0319L,maroon,maroon,black,green
421,NCDN,green,green,brown,brown
422,TFAP2E,greenyellow,greenyellow,grey,grey
423,PSMB2,darkturquoise,darkturquoise,antiquewhite4,blue
424,C1orf216,midnightblue,darkturquoise,brown4,pink
425,CLSPN,turquoise,turquoise,coral1,turquoise
426,AGO4,lightgreen,lightgreen,thistle1,turquoise
427,AGO1,cyan,cyan,cyan,lightyellow
428,AGO3,grey60,grey60,lightcyan,darkgreen
429,TEKT2,salmon,honeydew1,coral2,red
430,ADPRHL2,blue,blue,blue,red
431,COL8A2,pink,pink,tan,midnightblue
432,TRAPPC3,darkred,darkred,grey60,pink
433,MAP7D1,greenyellow,greenyellow,coral2,brown
434,THRAP3,lightgreen,lightgreen,thistle1,cyan
435,SH3D21,brown,brown,coral2,brown
436,EVA1B,brown,brown,coral2,red
437,STK40,brown,brown,coral2,brown
438,LSM10,blue,blue,blue,red
439,OSCP1,midnightblue,darkturquoise,brown4,blue
440,MRPS15,lightpink4,lightpink4,salmon4,red
441,CSF3R,pink,pink,tan,midnightblue
442,GRIK3,darkmagenta,darkmagenta,plum1,floralwhite
443,LINC01137,grey,grey,grey,grey
444,ZC3H12A,white,white,darkorange,orange
445,MEAF6,magenta,darkred,thistle1,pink
446,MIR5581,grey,grey,grey,grey
447,SNIP1,turquoise,turquoise,lightsteelblue1,pink
448,DNALI1,green,green,brown,brown
449,GNL2,turquoise,turquoise,thistle1,turquoise
450,C1orf109,turquoise,turquoise,thistle1,turquoise
451,CDCA8,blue,blue,blue,blue
452,EPHA10,blue,blue,blue,blue
453,MANEAL,purple,purple,black,green
454,YRDC,lightcyan1,lightcyan1,darkmagenta,pink
455,C1orf122,darkred,darkred,grey60,pink
456,MTF1,red,red,darkgreen,lightyellow
457,INPP5B,red,red,maroon,brown
458,SF3A3,orangered4,orangered4,skyblue,sienna3
459,FHL3,blue,blue,blue,blue
460,UTP11,turquoise,turquoise,thistle1,turquoise
461,POU3F1,brown,brown,coral2,green
462,RRAGC,turquoise,turquoise,lightcyan1,magenta
463,MYCBP,grey,grey,grey,grey
464,RHBDL2,darkolivegreen,darkolivegreen,steelblue,skyblue3
465,RNU6-605P,grey,grey,grey,grey
466,AKIRIN1,lightcyan,darkgrey,lightcyan1,magenta
467,NDUFS5,orangered4,orangered4,skyblue,sienna3
468,MACF1,orange,orange,darkgreen,darkolivegreen
469,BMP8A,brown,brown,coral2,green
470,OXCT2P1,grey,grey,grey,grey
471,PPIEL,green,green,brown,brown
472,PABPC4,green,green,grey,brown
473,SNORA55,grey,grey,thistle1,grey
474,HEYL,white,white,midnightblue,orange
475,NT5C1A,brown,brown,coral2,green
476,HPCAL4,brown,brown,coral2,green
477,PPIE,turquoise,turquoise,grey,grey
478,BMP8B,brown,brown,blue,green
479,OXCT2,blue,blue,blue,grey
480,TRIT1,turquoise,turquoise,thistle1,turquoise
481,MYCL,royalblue,royalblue,blue,salmon
482,MFSD2A,grey,grey,skyblue2,brown
483,CAP1,blue,blue,blue,blue
484,PPT1,darkred,darkred,grey60,pink
485,RLF,black,black,greenyellow,turquoise
486,RNU6-1237P,grey,grey,grey,grey
487,ZMPSTE24,lightcyan,darkgrey,mediumpurple3,darkgreen
488,COL9A2,tan,tan,violet,red
489,SMAP2,purple,purple,black,green
490,ZFP69B,grey,grey,grey,grey
491,ZFP69,grey,grey,grey,grey
492,EXO5,tan,tan,blue,red
493,ZNF684,turquoise,turquoise,thistle1,turquoise
494,RIMS3,blue,blue,blue,green
495,NFYC-AS1,yellow,plum2,grey,grey
496,NFYC,brown,brown,maroon,brown
497,MIR30E,grey,grey,grey,grey
498,MIR30C1,blue,blue,blue,grey
499,KCNQ4,purple,purple,black,green
500,CITED4,lightpink4,lightpink4,salmon4,red
501,CTPS1,lightyellow,lightyellow,midnightblue,grey60
502,SLFNL1-AS1,grey,grey,brown,grey
503,SLFNL1,violet,darkorange2,darkred,skyblue
504,SCMH1,maroon,maroon,black,purple
505,FOXO6,green,green,brown,brown
506,HIVEP3,green,green,brown,brown
507,FOXJ3,darkorange,darkorange,cyan,lightyellow
508,RIMKLA,blue,blue,black,green
509,ZMYND12,blue,blue,blue,blue
510,PPCS,turquoise,turquoise,thistle1,turquoise
511,CCDC30,palevioletred3,darkgreen,lightcyan,darkgreen
512,TMSB4XP1,grey,grey,grey,grey
513,RNU6-536P,grey,grey,grey,grey
514,PPIH,darkturquoise,darkturquoise,brown4,blue
515,YBX1,salmon,honeydew1,tan,grey
516,P3H1,bisque4,bisque4,black,brown
517,C1orf50,magenta,darkred,grey60,pink
518,SVBP,royalblue,royalblue,blue,red
519,ERMAP,turquoise,turquoise,brown4,grey
520,ZNF691,brown,brown,blue,salmon
521,ATP6V1E1P1,yellow,plum2,grey,turquoise
522,SLC2A1,lightyellow,lightyellow,midnightblue,grey
523,SLC2A1-AS1,brown,brown,black,green
524,RNU6-880P,grey,grey,grey,grey
525,EBNA1BP2,turquoise,turquoise,thistle1,turquoise
526,CFAP57,grey,grey,grey,grey
527,TMEM125,darkolivegreen,darkolivegreen,steelblue,skyblue3
528,TIE1,grey,grey,grey,grey
529,MPL,brown,brown,grey,purple
530,CDC20,blue,blue,blue,blue
531,ELOVL1,darkolivegreen,darkolivegreen,steelblue,skyblue3
532,MED8,blue,blue,blue,blue
533,SZT2,bisque4,bisque4,brown,brown
534,SZT2-AS1,green,green,brown,brown
535,HYI,blue,blue,brown4,blue
536,HYI-AS1,grey,grey,grey,grey
537,PTPRF,green,green,brown,purple
538,KDM4A,grey,grey,cyan,brown
539,ST3GAL3,purple,purple,black,green
540,MIR6079,grey,grey,grey,grey
541,IPO13,purple,purple,black,green
542,DPH2,blue,blue,blue,blue
543,ATP6V0B,darkturquoise,darkturquoise,brown4,blue
544,B4GALT2,tan,tan,blue,red
545,CCDC24,blue,blue,blue,blue
546,SLC6A9,brown,brown,brown,green
547,DMAP1,brown,brown,coral2,brown
548,ERI3,darkturquoise,darkturquoise,brown4,blue
549,ERI3-IT1,green,green,brown,brown
550,RNF220,steelblue,steelblue,violet,green
551,MIR5584,grey,grey,brown,green
552,TMEM53,blue,blue,blue,blue
553,C1orf228,brown,brown,coral2,brown
554,RNU5F-1,turquoise,turquoise,thistle1,grey
555,RNU5D-1,turquoise,turquoise,lightcyan1,turquoise
556,KIF2C,purple,purple,black,purple
557,RPS8,midnightblue,darkturquoise,blue,plum2
558,SNORD46,turquoise,turquoise,thistle1,pink
559,BEST4,blue,blue,brown4,blue
560,PLK3,white,white,darkorange,orange
561,BTBD19,green,green,brown,brown
562,PTCH2,green,green,brown,brown
563,EIF2B3,turquoise,turquoise,thistle1,pink
564,HECTD3,green,green,brown,brown
565,UROD,darkturquoise,darkturquoise,brown4,blue
566,ZSWIM5,red,red,brown,green
567,OSTCP5,grey,grey,grey,grey
568,LINC01144,brown,brown,blue,red
569,HPDL,blue,blue,thistle1,grey
570,MUTYH,brown,brown,coral2,red
571,TOE1,brown,brown,blue,red
572,TESK2,steelblue,steelblue,grey,grey
573,CCDC163P,yellow,plum2,grey,grey
574,MMACHC,blue,blue,blue,blue
575,PRDX1,magenta,darkred,grey60,pink
576,AKR1A1,midnightblue,darkturquoise,brown4,blue
577,NASP,black,black,lightcyan,darkgreen
578,CCDC17,blue,blue,blue,grey
579,GPBP1L1,lightcyan,darkgrey,lightcyan1,magenta
580,RPS15AP10,darkgreen,darkgreen,grey,grey
581,TMEM69,darkturquoise,darkturquoise,brown4,blue
582,IPP,turquoise,turquoise,thistle1,turquoise
583,MAST2,green,green,brown,brown
584,PIK3R3,grey,grey,thistle1,grey
585,TSPAN1,brown,brown,black,brown
586,POMGNT1,blue,blue,brown4,blue
587,LURAP1,purple,purple,black,purple
588,RAD54L,darkorange2,darkorange2,darkred,brown
589,LRRC41,purple,purple,black,green
590,UQCRH,darkred,darkred,grey60,pink
591,NSUN4,brown,brown,coral2,brown
592,FAAH,blue,blue,blue,blue
593,FAAHP1,orange,orange,brown,brown
594,KNCN,green,green,brown,purple
595,MKNK1,red,red,black,purple
596,MOB3C,pink,pink,darkorange,grey
597,ATPAF1,lightcyan,darkgrey,grey,grey
598,NENFP1,greenyellow,greenyellow,coral2,purple
599,EFCAB14,lightcyan,darkgrey,lightcyan1,magenta
600,CYP4X1,blue,blue,black,purple
601,CYP4Z1,red,red,brown,brown
602,CYP4A22-AS1,grey,grey,thistle1,grey
