Order,Symbol,dynamicColors_GRS3_prot,mergedColors_prot,mergedColors_rm,Consensus_GRS3
1,WASH7P,blue,blue,blue,blue
2,MIR6859-1,royalblue,royalblue,orangered4,red
3,RPL23AP24,lightcyan,darkgrey,brown,grey
4,MTND1P23,red,red,brown,purple
5,MTND2P28,brown,brown,black,brown
6,MTCO1P12,mediumpurple3,mediumpurple3,lightsteelblue1,grey
7,MTCO2P12,greenyellow,greenyellow,coral2,brown
8,MTATP6P1,brown,brown,black,brown
9,MTCO3P12,grey,grey,grey,grey
10,LINC01128,darkslateblue,darkslateblue,black,purple
11,LINC00115,grey,grey,grey,grey
12,SAMD11,lightyellow,lightyellow,midnightblue,grey60
13,NOC2L,blue,blue,blue,salmon
14,KLHL17,salmon,honeydew1,coral2,red
15,HES4,ivory,ivory,skyblue3,red
16,ISG15,darkred,darkred,grey60,pink
17,AGRN,salmon,honeydew1,coral2,brown
18,C1orf159,brown,brown,coral2,red
19,TNFRSF18,salmon,honeydew1,coral2,red
20,SDF4,salmon,honeydew1,coral2,brown
21,B3GALT6,blue,blue,blue,blue
22,UBE2J2,salmon,honeydew1,skyblue3,brown
23,SCNN1D,honeydew1,honeydew1,coral2,red
24,ACAP3,salmon,honeydew1,coral2,red
25,PUSL1,honeydew1,honeydew1,coral2,red
26,CPSF3L,red,red,brown,brown
27,CPTP,salmon,honeydew1,coral2,red
28,DVL1,salmon,honeydew1,coral2,red
29,MXRA8,lightyellow,lightyellow,midnightblue,grey60
30,AURKAIP1,ivory,ivory,skyblue3,red
31,CCNL2,tan,tan,sienna3,grey
32,MRPL20,darkred,darkred,grey60,pink
33,ANKRD65,darkturquoise,darkturquoise,brown4,blue
34,TMEM88B,blue,blue,brown4,blue
35,VWA1,tan,tan,coral2,red
36,ATAD3C,greenyellow,greenyellow,grey,brown
37,ATAD3B,blue,blue,blue,red
38,ATAD3A,honeydew1,honeydew1,blue,red
39,TMEM240,salmon,honeydew1,skyblue3,red
40,SSU72,salmon4,brown,maroon,green
41,FNDC10,blue,blue,black,green
42,MIB2,salmon,honeydew1,coral2,red
43,CDK11B,greenyellow,greenyellow,brown,brown
44,SLC35E2B,brown,brown,blue,red
45,CDK11A,salmon,honeydew1,coral2,brown
46,SLC35E2,blue,blue,blue,blue
47,NADK,salmon4,brown,coral2,red
48,GNB1,purple,purple,black,purple
49,CALML6,blue,blue,blue,red
50,TMEM52,tan,tan,black,green
51,CFAP74,tan,tan,coral2,green
52,GABRD,blue,blue,blue,blue
53,PRKCZ,tan,tan,coral2,red
54,FAAP20,brown,brown,coral2,brown
55,SKI,green,green,brown,brown
56,MORN1,tan,tan,blue,blue
57,RER1,ivory,ivory,coral2,red
58,PEX10,blue,blue,blue,blue
59,PLCH2,salmon,honeydew1,coral2,brown
60,PANK4,brown,brown,coral2,brown
61,HES5,turquoise,turquoise,grey,turquoise
62,TNFRSF14,blue,blue,blue,red
63,FAM213B,blue,blue,blue,blue
64,TTC34,brown,brown,coral2,green
65,LINC00982,blue,blue,steelblue,blue
66,PRDM16,brown,brown,blue,red
67,ARHGEF16,grey,grey,grey,brown
68,MEGF6,tan,tan,blue,red
69,TPRG1L,blue,blue,blue,blue
70,WRAP73,brown,brown,coral2,green
71,TP73-AS1,brown,brown,coral2,green
72,LRRC47,green,green,brown,green
73,CEP104,orange,orange,darkgreen,brown
74,DFFB,brown,brown,coral2,green
75,C1orf174,blue,blue,blue,blue
76,LINC01346,grey,grey,grey,grey
77,AJAP1,cyan,cyan,cyan,brown
78,NPHP4,green,green,brown,brown
79,KCNAB2,brown,brown,coral2,green
80,CHD5,greenyellow,greenyellow,brown,brown
81,RPL22,skyblue3,skyblue3,lightpink4,plum2
82,RNF207,red,red,brown,brown
83,ICMT,midnightblue,darkturquoise,brown4,blue
84,GPR153,brown,brown,coral2,green
85,ACOT7,purple,purple,brown,green
86,TNFRSF25,darkorange2,darkorange2,darkred,brown
87,PLEKHG5,brown,brown,coral2,brown
88,NOL9,grey,grey,coral2,brown
89,ZBTB48,blue,blue,blue,blue
90,KLHL21,brown,brown,coral2,brown
91,PHF13,cyan,cyan,cyan,brown
92,THAP3,royalblue,royalblue,coral2,salmon
93,DNAJC11,brown,brown,coral2,green
94,CAMTA1,purple,purple,black,purple
95,RNU1-8P,grey,grey,grey,grey
96,CAMTA1-IT1,green,green,brown,brown
97,VAMP3,darkolivegreen,darkolivegreen,steelblue,turquoise
98,PER3,orangered4,orangered4,coral1,turquoise
99,PARK7,darkred,darkred,grey60,pink
100,ERRFI1,turquoise,turquoise,lightcyan1,magenta
101,SLC45A1,purple,purple,coral2,green
102,RERE,cyan,cyan,cyan,brown
103,RPL7P7,grey,grey,grey,grey
104,ENO1,darkturquoise,darkturquoise,brown4,blue
105,ENO1-IT1,grey,grey,grey,grey
106,ENO1-AS1,red,red,grey,grey
107,SLC2A5,pink,pink,tan,midnightblue
108,GPR157,purple,purple,midnightblue,grey
109,MIR34A,blue,blue,blue,blue
110,H6PD,blue,blue,black,blue
111,SPSB1,greenyellow,greenyellow,coral2,green
112,SLC25A33,turquoise,turquoise,thistle1,turquoise
113,TMEM201,purple,purple,black,green
114,PIK3CD,brown,brown,brown,green
115,CLSTN1,green,green,brown,brown
116,CTNNBIP1,blue,blue,blue,blue
117,LZIC,darkgrey,darkgrey,mediumpurple3,magenta
