Order,Symbol,dynamicColors_GS3_prot,mergedColors,consensus_GS3
1,WASH7P,greenyellow,greenyellow,turquoise
2,MIR6859-1,midnightblue,midnightblue,turquoise
3,RPL23AP24,grey,grey,grey
4,MTND1P23,turquoise,salmon,black
5,MTND2P28,turquoise,salmon,black
6,MTCO1P12,orangered4,orangered4,grey
7,MTCO2P12,brown,brown,turquoise
8,MTATP6P1,turquoise,salmon,black
9,MTCO3P12,grey,grey,grey
10,LINC01128,black,black,yellow
11,LINC00115,grey,grey,grey
12,SAMD11,grey60,grey60,cyan
13,NOC2L,green,green,turquoise
14,KLHL17,brown,brown,green
15,HES4,sienna3,sienna3,lightsteelblue1
16,ISG15,midnightblue,midnightblue,greenyellow
17,AGRN,brown,brown,turquoise
18,C1orf159,brown,brown,green
19,TNFRSF18,brown,brown,green
20,SDF4,thistle1,lightsteelblue1,green
21,B3GALT6,brown,brown,turquoise
22,UBE2J2,brown,brown,green
23,SCNN1D,brown,brown,turquoise
24,ACAP3,brown,brown,green
25,PUSL1,brown,brown,lightsteelblue1
26,CPSF3L,red,black,yellow
27,CPTP,brown,brown,green
28,DVL1,brown,brown,green
29,MXRA8,grey60,grey60,cyan
30,AURKAIP1,sienna3,sienna3,lightsteelblue1
31,CCNL2,lightyellow,bisque4,grey
32,MRPL20,midnightblue,midnightblue,greenyellow
33,ANKRD65,green,green,turquoise
34,TMEM88B,green,green,turquoise
35,VWA1,brown,brown,lightsteelblue1
36,ATAD3C,lightcyan,darkorange,yellow
37,ATAD3B,brown,brown,turquoise
38,ATAD3A,brown,brown,turquoise
39,TMEM240,sienna3,sienna3,green
40,SSU72,turquoise,salmon,green
41,FNDC10,green,green,turquoise
42,MIB2,brown,brown,green
43,CDK11B,thistle2,thistle2,plum2
44,SLC35E2B,brown,brown,turquoise
45,CDK11A,brown,brown,green
46,SLC35E2,brown,brown,turquoise
47,NADK,brown,brown,green
48,GNB1,turquoise,salmon,black
49,CALML6,brown,brown,turquoise
50,TMEM52,brown,brown,turquoise
51,CFAP74,brown,brown,turquoise
52,GABRD,green,green,turquoise
53,PRKCZ,brown,brown,turquoise
54,FAAP20,turquoise,salmon,green
55,SKI,black,black,yellow
56,MORN1,brown,brown,turquoise
57,RER1,sienna3,sienna3,lightsteelblue1
58,PEX10,pink,green,turquoise
59,PLCH2,brown,brown,green
60,PANK4,turquoise,salmon,yellow
61,HES5,blue,blue,blue
62,TNFRSF14,brown,brown,turquoise
63,FAM213B,green,green,turquoise
64,TTC34,brown,brown,turquoise
65,LINC00982,green,green,turquoise
66,PRDM16,brown,brown,turquoise
67,ARHGEF16,grey,grey,yellow
68,MEGF6,brown,brown,turquoise
69,TPRG1L,green,green,turquoise
70,WRAP73,turquoise,salmon,green
71,TP73-AS1,turquoise,salmon,green
72,LRRC47,red,black,yellow
73,CEP104,grey,grey,grey60
74,DFFB,turquoise,salmon,green
75,C1orf174,green,green,turquoise
76,LINC01346,grey,grey,grey
77,AJAP1,lightgreen,lightgreen,darkgreen
78,NPHP4,red,black,yellow
79,KCNAB2,turquoise,salmon,green
80,CHD5,red,black,yellow
81,RPL22,plum2,plum2,mediumpurple3
82,RNF207,turquoise,salmon,yellow
83,ICMT,green,green,turquoise
84,GPR153,brown,brown,green
85,ACOT7,salmon,salmon,yellow
86,TNFRSF25,darkorange2,darkorange2,darkorange
87,PLEKHG5,turquoise,salmon,green
88,NOL9,turquoise,salmon,green
89,ZBTB48,brown,brown,turquoise
90,KLHL21,turquoise,salmon,green
91,PHF13,orange,lightgreen,yellow
92,THAP3,greenyellow,greenyellow,green
93,DNAJC11,turquoise,salmon,turquoise
94,CAMTA1,lightgreen,lightgreen,black
95,RNU1-8P,grey,grey,grey
96,CAMTA1-IT1,red,black,yellow
97,VAMP3,yellow,darkred,pink
98,PER3,grey,grey,blue
99,PARK7,midnightblue,midnightblue,greenyellow
100,ERRFI1,cyan,cyan,pink
101,SLC45A1,salmon,salmon,black
102,RERE,orange,lightgreen,yellow
103,RPL7P7,skyblue,skyblue,grey
104,ENO1,pink,green,lightcyan
105,ENO1-IT1,grey,grey,grey
106,ENO1-AS1,red,black,grey
107,SLC2A5,magenta,magenta,salmon
108,GPR157,darkslateblue,darkslateblue,grey
109,MIR34A,green,green,turquoise
110,H6PD,green,green,turquoise
111,SPSB1,brown,brown,turquoise
112,SLC25A33,blue,blue,blue
113,TMEM201,red,black,yellow
114,PIK3CD,red,black,yellow
115,CLSTN1,black,black,yellow
116,CTNNBIP1,green,green,turquoise
117,LZIC,darkgreen,cyan,pink
118,NMNAT1,paleturquoise,mediumpurple3,darkslateblue
119,RN7SKP269,turquoise,salmon,turquoise
120,MIR5697,tan,tan,tan
121,RBP7,violet,violet,darkolivegreen
122,UBE4B,black,black,yellow
123,PGAM1P11,grey,grey,yellow
124,RNU6-828P,grey,grey,grey
125,KIF1B,orange,lightgreen,yellow
126,MIR1273D,grey,grey,grey
127,RNU6-37P,tan,tan,blue
128,PGD,turquoise,salmon,turquoise
129,APITD1,purple,midnightblue,blue
130,CORT,pink,green,turquoise
131,DFFA,lightcyan,darkorange,green
132,PEX14,turquoise,salmon,turquoise
133,RN7SL614P,turquoise,salmon,grey
134,TARDBP,darkorange,darkorange,pink
135,SRM,red,black,black
136,EXOSC10,darkred,darkred,turquoise
137,MTOR,salmon,salmon,black
138,UBIAD1,turquoise,salmon,black
139,DISP3,turquoise,salmon,turquoise
140,FBXO2,green,green,turquoise
141,FBXO44,green,green,turquoise
142,FBXO6,green,green,turquoise
143,MAD2L2,pink,green,turquoise
144,DRAXIN,salmon,salmon,grey
145,AGTRAP,greenyellow,greenyellow,turquoise
146,MTHFR,turquoise,salmon,green
147,CLCN6,black,black,yellow
148,NPPA,grey,grey,turquoise
149,RNU5E-1,grey,grey,tan
150,KIAA2013,green,green,turquoise
151,PLOD1,lightcyan,darkorange,darkorange
152,MFN2,salmon,salmon,black
153,MIIP,turquoise,salmon,green
154,TNFRSF1B,darkgrey,darkgrey,darkturquoise
155,VPS13D,orange,lightgreen,violet
156,SNORA59A,turquoise,salmon,turquoise
157,DHRS3,greenyellow,greenyellow,green
158,LRRC38,grey,grey,grey
159,PDPN,grey,grey,grey
160,PRDM2,orange,lightgreen,darkgreen
161,KAZN,red,black,yellow
162,TMEM51-AS1,turquoise,salmon,green
163,TMEM51,grey,grey,grey
164,FHAD1,darkred,darkred,grey
165,EFHD2,brown,brown,turquoise
166,CASP9,red,black,yellow
167,DNAJC16,darkturquoise,darkturquoise,black
168,AGMAT,green,green,turquoise
169,CHCHD2P6,turquoise,salmon,yellow
170,DDI2,darkturquoise,darkturquoise,paleturquoise
171,PLEKHM2,turquoise,salmon,green
172,SLC25A34,turquoise,salmon,yellow
173,FBLIM1,grey60,grey60,cyan
174,UQCRHL,brown,brown,turquoise
175,SPEN,orange,lightgreen,darkgreen
176,ZBTB17,brown,brown,green
177,C1orf64,maroon,maroon,blue
178,HSPB7,grey,grey,grey
179,FAM131C,brown,brown,turquoise
180,EPHA2,darkgrey,darkgrey,darkturquoise
181,ANO7P1,turquoise,salmon,green
182,RSG1,brown,brown,turquoise
183,MT1XP1,grey,grey,grey
184,FBXO42,lightgreen,lightgreen,black
185,SZRD1,turquoise,salmon,turquoise
186,NECAP2,greenyellow,greenyellow,green
187,CROCCP3,brown,brown,green
188,RNU1-1,darkorange,darkorange,pink
189,NBPF1,greenyellow,greenyellow,grey
190,CROCCP2,brown,brown,green
191,MST1P2,brown,brown,turquoise
192,EIF1AXP1,yellow,darkred,blue
193,CROCC,brown,brown,green
194,RNU1-4,orangered4,orangered4,ivory
195,RNU1-2,red,black,yellow
196,ATP13A2,red,black,yellow
197,SDHB,midnightblue,midnightblue,sienna3
198,PADI2,steelblue,steelblue,darkgrey
199,RCC2,turquoise,salmon,green
200,ARHGEF10L,turquoise,salmon,green
201,IGSF21,salmon,salmon,black
202,PAX7,turquoise,salmon,black
203,ALDH4A1,green,green,turquoise
204,IFFO2,turquoise,salmon,yellow
205,UBR4,black,black,yellow
206,EMC1,black,black,yellow
207,MRTO4,violet,violet,lightcyan
208,AKR7L,grey,grey,grey
209,AKR7A3,turquoise,salmon,turquoise
210,AKR7A2,pink,green,turquoise
211,RNU6-1099P,grey,grey,grey
212,PQLC2,brown,brown,green
213,CAPZB,grey,grey,turquoise
214,MINOS1,purple,midnightblue,greenyellow
215,NBL1,green,green,turquoise
216,HTR6,brown,brown,turquoise
217,TMCO4,turquoise,salmon,green
218,OTUD3,yellow,darkred,blue
219,PLA2G5,green,green,turquoise
220,UBXN10-AS1,blue,blue,grey
221,UBXN10,turquoise,salmon,black
222,LINC01141,turquoise,salmon,turquoise
223,CAMK2N1,orange,lightgreen,yellow
224,MUL1,turquoise,salmon,turquoise
225,FAM43B,turquoise,salmon,yellow
226,PINK1,pink,green,lightcyan
227,PINK1-AS,grey,grey,grey
228,DDOST,green,green,lightcyan
229,KIF17,turquoise,salmon,turquoise
230,SH2D5,brown,brown,turquoise
231,HP1BP3,darkorange,darkorange,grey60
232,EIF4G3,lightcyan1,lightcyan1,yellow
233,MIR1256,blue,blue,blue
234,RPS15AP6,grey,grey,blue
235,ECE1,red,black,yellow
236,NBPF2P,grey,grey,turquoise
237,HS6ST1P1,red,black,yellow
238,NBPF3,grey,grey,grey
239,ALPL,turquoise,salmon,turquoise
240,RAP1GAP,brown,brown,turquoise
241,USP48,skyblue3,skyblue,grey60
242,HSPG2,grey60,grey60,cyan
243,LINC00339,grey,grey,grey
244,CDC42,purple,midnightblue,greenyellow
245,CDC42-IT1,grey,grey,grey
246,WNT4,turquoise,salmon,turquoise
247,ZBTB40,darkorange2,darkorange2,darkorange
248,ZBTB40-IT1,grey,grey,grey
249,EPHA8,turquoise,salmon,yellow
250,C1QA,magenta,magenta,salmon
251,C1QC,magenta,magenta,salmon
252,C1QB,magenta,magenta,salmon
253,EPHB2,turquoise,salmon,yellow
254,C1orf234,grey,grey,grey
255,KDM1A,yellow,darkred,blue
256,LUZP1,turquoise,salmon,yellow
257,HTR1D,grey,grey,grey
258,LINC01355,royalblue,royalblue,grey60
259,HNRNPR,salmon4,salmon4,tan
260,ZNF436,brown,brown,grey
261,ZNF436-AS1,grey,grey,grey
262,TCEA3,greenyellow,greenyellow,grey
263,ASAP3,turquoise,salmon,green
264,ID3,grey,grey,grey
265,RPL11,plum2,plum2,mediumpurple3
266,TCEB3,grey,grey,grey
267,TCEB3-AS1,grey,grey,grey
268,PITHD1,pink,green,lightcyan
269,LYPLA2,green,green,turquoise
270,GALE,pink,green,lightcyan
271,HMGCL,midnightblue,midnightblue,greenyellow
272,FUCA1,blue,blue,blue
273,PNRC2,darkorange,darkorange,grey60
274,SRSF10,saddlebrown,cyan,pink
