Order,Symbol,dynamicColors_GRS5_prot,mergedColors,consensus_GRS5
61,HES5,turquoise,turquoise,darkred
62,TNFRSF14,purple,purple,turquoise
63,FAM213B,blue,blue,turquoise
64,TTC34,brown,brown,green
65,LINC00982,tan,grey60,turquoise
66,PRDM16,blue,blue,turquoise
67,ARHGEF16,grey,grey,yellow
68,MEGF6,blue,blue,turquoise
69,TPRG1L,blue,blue,turquoise
70,WRAP73,brown,brown,green
71,TP73-AS1,brown,brown,sienna3
72,LRRC47,yellow,black,green
73,CEP104,mediumpurple3,mediumpurple3,royalblue
74,DFFB,brown,brown,green
75,C1orf174,blue,blue,turquoise
76,LINC01346,yellow,black,grey
77,AJAP1,black,black,darkgreen
78,NPHP4,yellow,black,yellow
79,KCNAB2,brown,brown,green
80,CHD5,yellow,black,yellow
81,RPL22,brown4,brown4,thistle1
82,RNF207,yellow,black,green
83,ICMT,grey60,grey60,turquoise
84,GPR153,brown,brown,green
85,ACOT7,yellow,black,green
86,TNFRSF25,darkgreen,darkgreen,yellow
87,PLEKHG5,lightgreen,brown,green
88,NOL9,grey,grey,sienna3
89,ZBTB48,blue,blue,turquoise
90,KLHL21,brown,brown,greenyellow
91,PHF13,yellow,black,yellow
92,THAP3,purple,purple,greenyellow
93,DNAJC11,brown,brown,green
94,CAMTA1,magenta,ivory,sienna3
95,RNU1-8P,grey,grey,grey
96,CAMTA1-IT1,yellow,black,yellow
97,VAMP3,green,white,darkred
98,PER3,turquoise,turquoise,midnightblue
99,PARK7,lightyellow,lightyellow,mediumpurple3
100,ERRFI1,green,white,brown
101,SLC45A1,magenta,ivory,green
102,RERE,black,black,darkgreen
103,RPL7P7,grey,grey,grey
104,ENO1,tan,grey60,turquoise
105,ENO1-IT1,grey,grey,grey
106,ENO1-AS1,yellow,black,grey
107,SLC2A5,greenyellow,greenyellow,cyan
108,GPR157,grey,grey,grey
109,MIR34A,blue,blue,turquoise
110,H6PD,blue,blue,turquoise
111,SPSB1,yellow,black,green
112,SLC25A33,turquoise,turquoise,darkred
113,TMEM201,yellow,black,green
114,PIK3CD,yellow,black,yellow
115,CLSTN1,black,black,yellow
116,CTNNBIP1,blue,blue,turquoise
117,LZIC,orange,orange,grey60
118,NMNAT1,yellowgreen,yellowgreen,floralwhite
119,RN7SKP269,blue,blue,sienna3
120,MIR5697,red,red,salmon
121,RBP7,skyblue,skyblue,orangered4
122,UBE4B,black,black,yellow
123,PGAM1P11,grey,grey,yellow
124,RNU6-828P,grey,grey,grey
125,KIF1B,saddlebrown,saddlebrown,lightyellow
126,MIR1273D,darkorange,darkorange,grey
127,RNU6-37P,red,red,salmon
128,PGD,brown,brown,turquoise
129,APITD1,pink,pink,darkred
130,CORT,grey60,grey60,turquoise
131,DFFA,darkgreen,darkgreen,greenyellow
132,PEX14,magenta,ivory,green
133,RN7SL614P,grey,grey,grey
134,TARDBP,salmon,salmon,grey60
135,SRM,yellow,black,green
136,EXOSC10,magenta,ivory,tan
137,MTOR,black,black,tan
138,UBIAD1,brown,brown,sienna3
139,DISP3,brown,brown,green
140,FBXO2,blue,blue,turquoise
141,FBXO44,blue,blue,turquoise
142,FBXO6,blue,blue,turquoise
143,MAD2L2,tan,grey60,turquoise
144,DRAXIN,magenta,ivory,grey
145,AGTRAP,purple,purple,turquoise
146,MTHFR,blue,blue,green
147,CLCN6,black,black,yellow
148,NPPA,grey,grey,turquoise
149,RNU5E-1,grey,grey,salmon
150,KIAA2013,blue,blue,turquoise
151,PLOD1,darkgreen,darkgreen,skyblue3
152,MFN2,magenta,ivory,tan
153,MIIP,purple,purple,greenyellow
154,TNFRSF1B,royalblue,royalblue,darkorange
155,VPS13D,saddlebrown,saddlebrown,lightyellow
156,SNORA59A,purple,purple,turquoise
157,DHRS3,purple,purple,greenyellow
158,LRRC38,grey,grey,grey
159,PDPN,grey,grey,grey
160,PRDM2,cyan,cyan,yellow
161,KAZN,black,black,yellow
162,TMEM51-AS1,brown,brown,sienna3
163,TMEM51,darkred,darkred,grey
164,FHAD1,midnightblue,midnightblue,grey
165,EFHD2,brown,brown,green
166,CASP9,yellow,black,yellow
167,DNAJC16,grey,grey,lightyellow
168,AGMAT,tan,grey60,turquoise
169,CHCHD2P6,brown,brown,yellow
170,DDI2,green,white,lightcyan1
171,PLEKHM2,blue,blue,green
172,SLC25A34,yellow,black,yellow
173,FBLIM1,lightcyan,lightcyan,lightcyan
174,UQCRHL,blue,blue,turquoise
175,SPEN,cyan,cyan,darkgreen
176,ZBTB17,lightgreen,brown,green
177,C1orf64,royalblue,royalblue,midnightblue
178,HSPB7,blue,blue,grey
179,FAM131C,blue,blue,turquoise
180,EPHA2,royalblue,royalblue,darkorange
181,ANO7P1,brown,brown,green
182,RSG1,blue,blue,turquoise
183,MT1XP1,grey,grey,grey
184,FBXO42,cyan,cyan,sienna3
185,SZRD1,brown,brown,turquoise
186,NECAP2,purple,purple,greenyellow
187,CROCCP3,brown,brown,yellow
188,RNU1-1,salmon,salmon,lightgreen
189,NBPF1,purple,purple,grey
190,CROCCP2,lightgreen,brown,green
191,MST1P2,brown,brown,green
192,EIF1AXP1,green,white,brown
193,CROCC,lightgreen,brown,yellow
194,RNU1-4,darkmagenta,darkmagenta,ivory
195,RNU1-2,yellow,black,yellow
196,ATP13A2,yellow,black,green
197,SDHB,lightyellow,lightyellow,plum1
198,PADI2,darkgrey,darkgrey,darkmagenta
199,RCC2,brown,brown,sienna3
200,ARHGEF10L,blue,blue,green
201,IGSF21,yellow,black,green
202,PAX7,yellow,black,yellow
203,ALDH4A1,blue,blue,turquoise
204,IFFO2,yellow,black,yellow
205,UBR4,black,black,yellow
206,EMC1,black,black,yellow
207,MRTO4,grey60,grey60,turquoise
208,AKR7L,grey,grey,grey
209,AKR7A3,yellow,black,grey
210,AKR7A2,blue,blue,turquoise
211,RNU6-1099P,grey,grey,violet
212,PQLC2,purple,purple,green
213,CAPZB,grey,grey,turquoise
214,MINOS1,pink,pink,mediumpurple3
215,NBL1,blue,blue,turquoise
216,HTR6,magenta,ivory,tan
217,TMCO4,purple,purple,sienna3
218,OTUD3,green,white,brown
219,PLA2G5,grey60,grey60,turquoise
220,UBXN10-AS1,turquoise,turquoise,mediumpurple3
221,UBXN10,magenta,ivory,tan
222,LINC01141,brown,brown,sienna3
223,CAMK2N1,cyan,cyan,yellow
224,MUL1,blue,blue,turquoise
225,FAM43B,brown,brown,yellow
226,PINK1,tan,grey60,turquoise
227,PINK1-AS,grey,grey,grey
228,DDOST,tan,grey60,turquoise
229,KIF17,blue,blue,tan
230,SH2D5,blue,blue,turquoise
231,HP1BP3,salmon,salmon,lightgreen
232,EIF4G3,cyan,cyan,yellow
233,MIR1256,turquoise,turquoise,brown
234,RPS15AP6,grey,grey,brown
235,ECE1,yellow,black,yellow
236,NBPF2P,magenta,ivory,grey
237,HS6ST1P1,yellow,black,yellow
238,NBPF3,grey,grey,grey
239,ALPL,brown,brown,green
240,RAP1GAP,brown,brown,green
241,USP48,paleturquoise,darkred,royalblue
242,HSPG2,lightcyan,lightcyan,lightcyan
243,LINC00339,grey,grey,grey
244,CDC42,pink,pink,mediumpurple3
245,CDC42-IT1,grey,grey,grey
246,WNT4,brown,brown,green
247,ZBTB40,darkgreen,darkgreen,skyblue3
248,ZBTB40-IT1,grey,grey,grey
249,EPHA8,yellow,black,green
250,C1QA,greenyellow,greenyellow,cyan
251,C1QC,greenyellow,greenyellow,cyan
252,C1QB,greenyellow,greenyellow,cyan
253,EPHB2,brown,brown,yellow
254,C1orf234,grey,grey,grey
255,KDM1A,turquoise,turquoise,darkred
256,LUZP1,brown,brown,yellow
257,HTR1D,grey,grey,grey
258,LINC01355,bisque4,bisque4,grey60
259,HNRNPR,red,red,brown
260,ZNF436,brown,brown,grey
261,ZNF436-AS1,grey,grey,grey
262,TCEA3,grey,grey,grey
263,ASAP3,brown,brown,sienna3
264,ID3,grey,grey,grey
265,RPL11,brown4,brown4,thistle1
266,TCEB3,grey,grey,grey
267,TCEB3-AS1,grey,grey,grey
268,PITHD1,grey60,grey60,turquoise
269,LYPLA2,blue,blue,turquoise
270,GALE,tan,grey60,turquoise
271,HMGCL,lightyellow,lightyellow,turquoise
272,FUCA1,turquoise,turquoise,darkred
273,PNRC2,salmon,salmon,lightgreen
274,SRSF10,darkorange,darkorange,grey60
275,IFNLR1,magenta,ivory,sienna3
276,STPG1,blue,blue,tan
277,NIPAL3,black,black,yellow
278,RCAN3,green,white,brown
279,SRRM1,mediumpurple3,mediumpurple3,darkgreen
280,CLIC4,turquoise,turquoise,darkred
281,SYF2,darkslateblue,brown4,darkred
282,RSRP1,grey,grey,mediumpurple3
283,SDHDP6,grey,grey,greenyellow
284,TMEM50A,grey,grey,darkred
285,RHCE,grey,grey,turquoise
286,TMEM57,darkred,darkred,royalblue
287,LDLRAP1,brown,brown,sienna3
288,MAN1C1,black,black,yellow
289,SEPN1,brown,brown,green
290,MTFR1L,purple,purple,turquoise
291,AUNIP,turquoise,turquoise,darkred
292,PAQR7,blue,blue,turquoise
293,STMN1,turquoise,turquoise,darkred
294,PAFAH2,grey,grey,grey
295,EXTL1,lightgreen,brown,green
296,PDIK1L,darkorange,darkorange,brown
297,FAM110D,purple,purple,turquoise
298,ZNF593,blue,blue,turquoise
299,CNKSR1,brown,brown,yellow
300,CEP85,brown,brown,turquoise
301,SH3BGRL3,purple,purple,greenyellow
302,UBXN11,blue,blue,green
303,CD52,purple,purple,greenyellow
304,DHDDS,blue,blue,turquoise
305,HMGN2,turquoise,turquoise,darkred
306,RPS6KA1,greenyellow,greenyellow,cyan
307,ARID1A,black,black,yellow
308,PIGV,blue,blue,turquoise
309,ZDHHC18,brown,brown,yellow
310,GPN2,brown,brown,greenyellow
311,GPATCH3,blue,blue,turquoise
312,NUDC,brown,brown,green
313,TRNP1,brown,brown,sienna3
314,SLC9A1,black,black,yellow
315,CHCHD3P3,yellow,black,yellow
316,NPM1P39,grey,grey,salmon
317,WDTC1,yellow,black,yellow
318,TMEM222,blue,blue,turquoise
319,RNU6-48P,yellow,black,yellow
320,ACTG1P20,yellow,black,sienna3
321,MAP3K6,yellow,black,sienna3
322,GPR3,magenta,ivory,tan
323,WASF2,yellow,black,yellow
324,AHDC1,black,black,yellow
325,FGR,lightcyan,lightcyan,grey
326,IFI6,tan,grey60,turquoise
327,FAM76A,midnightblue,midnightblue,darkred
328,RPEP3,turquoise,turquoise,grey
329,STX12,turquoise,turquoise,darkred
330,PPP1R8,lightyellow,lightyellow,mediumpurple3
331,SCARNA1,darkorange,darkorange,grey
332,THEMIS2,magenta,ivory,green
333,RPA2,lightyellow,lightyellow,mediumpurple3
334,SMPDL3B,orangered4,orangered4,green
335,XKR8,brown,brown,greenyellow
336,EYA3,darkgreen,darkgreen,skyblue3
337,RN7SL559P,magenta,ivory,tan
338,SPCS2P4,grey,grey,grey
339,PTAFR,greenyellow,greenyellow,cyan
340,DNAJC8,darkslateblue,brown4,darkred
341,ATPIF1,lightsteelblue1,lightsteelblue1,brown4
342,SESN2,brown,brown,sienna3
343,MED18,lightyellow,lightyellow,mediumpurple3
344,PHACTR4,cyan,cyan,darkgreen
345,RNU6ATAC27P,grey,grey,grey
346,RCC1,darkgreen,darkgreen,skyblue3
347,SNHG3,salmon,salmon,grey
348,SNORA73B,darkolivegreen,darkolivegreen,darkorange2
349,TRNAU1AP,purple,purple,greenyellow
350,SNHG12,darkolivegreen,darkolivegreen,mediumpurple3
351,SNORD99,turquoise,turquoise,brown
352,TAF12,purple,purple,greenyellow
353,GMEB1,darkgrey,darkgrey,grey
354,YTHDF2,pink,pink,mediumpurple3
355,OPRD1,brown,brown,green
356,EPB41,grey,grey,midnightblue
357,TMEM200B,midnightblue,midnightblue,turquoise
358,SRSF4,paleturquoise,darkred,royalblue
359,MECR,blue,blue,turquoise
360,PTPRU,yellow,black,yellow
361,MATN1-AS1,darkgrey,darkgrey,turquoise
362,LAPTM5,greenyellow,greenyellow,cyan
363,SDC3,blue,blue,green
364,PUM1,yellow,black,sienna3
365,NKAIN1,blue,blue,turquoise
366,SNRNP40,grey60,grey60,turquoise
367,ZCCHC17,brown4,brown4,mediumpurple3
368,FABP3,tan,grey60,turquoise
369,TINAGL1,lightcyan,lightcyan,lightcyan
370,HCRTR1,brown,brown,turquoise
371,PEF1,blue,blue,turquoise
372,COL16A1,blue,blue,turquoise
373,ADGRB2,yellow,black,green
374,MIR4254,blue,blue,turquoise
375,PTP4A2,darkgrey,darkgrey,darkred
376,KHDRBS1,darkorange2,darkorange2,brown
377,TMEM39B,ivory,ivory,sienna3
378,MIR5585,grey,grey,grey
379,KPNA6,magenta,ivory,tan
380,TXLNA,brown,brown,sienna3
381,CCDC28B,grey60,grey60,turquoise
382,IQCC,blue,blue,turquoise
383,TMEM234,blue,blue,turquoise
384,EIF3I,tan,grey60,turquoise
385,MTMR9LP,purple,purple,greenyellow
386,HDAC1,salmon,salmon,grey
387,MARCKSL1,skyblue,skyblue,orangered4
388,TSSK3,blue,blue,turquoise
389,FAM229A,yellow,black,yellow
390,BSDC1,blue,blue,turquoise
391,ZBTB8B,steelblue,darkgreen,lightgreen
392,ZBTB8A,turquoise,turquoise,darkred
393,ZBTB8OS,darkslateblue,brown4,darkred
394,RBBP4,turquoise,turquoise,brown
395,SYNC,turquoise,turquoise,darkred
396,KIAA1522,yellow,black,yellow
397,YARS,yellow,black,yellow
398,S100PBP,greenyellow,greenyellow,brown
399,FNDC5,blue,blue,turquoise
400,HPCA,magenta,ivory,tan
401,TMEM54,blue,blue,sienna3
402,RNF19B,yellow,black,yellow
403,AK2,purple,purple,sienna3
404,AZIN2,brown,brown,sienna3
405,TRIM62,black,black,yellow
406,ZNF362,brown,brown,green
407,PHC2,ivory,ivory,tan
408,RN7SKP16,grey,grey,yellow
409,ZSCAN20,brown,brown,yellow
410,CSMD2,black,black,yellow
411,SMIM12,blue,blue,turquoise
412,GJB5,magenta,ivory,tan
413,GJA4,lightcyan,lightcyan,grey
414,DLGAP3,brown,brown,green
415,ZMYM6,green,white,brown
416,ZMYM1,green,white,brown
417,SFPQ,skyblue3,darkorange,royalblue
418,ZMYM4,darkred,darkred,royalblue
419,RPL5P4,red,red,salmon
420,KIAA0319L,blue,blue,tan
421,NCDN,black,black,yellow
422,TFAP2E,yellow,black,yellow
423,PSMB2,tan,grey60,turquoise
424,C1orf216,grey60,grey60,turquoise
425,CLSPN,brown,brown,darkred
426,AGO4,midnightblue,midnightblue,darkred
427,AGO1,cyan,cyan,yellow
428,AGO3,salmon,salmon,lightgreen
429,TEKT2,brown,brown,green
430,ADPRHL2,blue,blue,turquoise
431,COL8A2,greenyellow,greenyellow,cyan
432,TRAPPC3,yellowgreen,yellowgreen,mediumpurple3
433,MAP7D1,yellow,black,yellow
434,THRAP3,red,red,salmon
435,SH3D21,brown,brown,sienna3
436,EVA1B,brown,brown,green
437,STK40,brown,brown,yellow
438,LSM10,purple,purple,sienna3
439,OSCP1,tan,grey60,turquoise
440,MRPS15,purple,purple,white
441,CSF3R,greenyellow,greenyellow,cyan
442,GRIK3,orangered4,orangered4,bisque4
443,LINC01137,grey,grey,grey
444,ZC3H12A,royalblue,royalblue,darkorange
445,MEAF6,pink,pink,mediumpurple3
446,MIR5581,green,white,grey
447,SNIP1,pink,pink,mediumpurple3
448,DNALI1,yellow,black,grey
449,GNL2,turquoise,turquoise,darkred
450,C1orf109,turquoise,turquoise,darkred
451,CDCA8,blue,blue,turquoise
452,EPHA10,blue,blue,turquoise
453,MANEAL,magenta,ivory,tan
454,YRDC,pink,pink,mediumpurple3
455,C1orf122,lightyellow,lightyellow,mediumpurple3
456,MTF1,brown,brown,yellow
457,INPP5B,yellow,black,sienna3
458,SF3A3,floralwhite,floralwhite,plum1
459,FHL3,blue,blue,turquoise
460,UTP11,turquoise,turquoise,darkred
461,POU3F1,brown,brown,green
462,RRAGC,turquoise,turquoise,brown
463,MYCBP,brown,brown,grey
464,RHBDL2,skyblue,skyblue,orangered4
465,RNU6-605P,grey,grey,grey
466,AKIRIN1,green,white,brown
467,NDUFS5,floralwhite,floralwhite,plum1
468,MACF1,cyan,cyan,darkgreen
469,BMP8A,brown,brown,green
470,OXCT2P1,grey,grey,grey
471,PPIEL,yellow,black,grey
472,PABPC4,cyan,cyan,yellow
473,SNORA55,turquoise,turquoise,grey
474,HEYL,lightcyan,lightcyan,darkorange
475,NT5C1A,brown,brown,green
476,HPCAL4,brown,brown,yellow
477,PPIE,pink,pink,darkred
478,BMP8B,brown,brown,green
479,OXCT2,blue,blue,grey
480,TRIT1,turquoise,turquoise,darkred
481,MYCL,purple,purple,turquoise
482,MFSD2A,royalblue,royalblue,grey
483,CAP1,blue,blue,turquoise
484,PPT1,lightyellow,lightyellow,mediumpurple3
485,RLF,red,red,grey60
486,RNU6-1237P,grey,grey,grey
487,ZMPSTE24,green,white,brown
488,COL9A2,blue,blue,darkmagenta
489,SMAP2,magenta,ivory,lightyellow
490,ZFP69B,grey,grey,grey
491,ZFP69,grey,grey,grey
492,EXO5,blue,blue,turquoise
493,ZNF684,turquoise,turquoise,darkred
494,RIMS3,blue,blue,green
495,NFYC-AS1,grey,grey,grey
496,NFYC,brown,brown,sienna3
497,MIR30E,grey,grey,grey
498,MIR30C1,tan,grey60,grey
499,KCNQ4,brown,brown,green
500,CITED4,plum1,plum1,green
501,CTPS1,lightcyan,lightcyan,lightcyan
502,SLFNL1-AS1,black,black,grey
503,SLFNL1,darkgreen,darkgreen,skyblue3
504,SCMH1,ivory,ivory,tan
505,FOXO6,yellow,black,yellow
506,HIVEP3,black,black,yellow
507,FOXJ3,cyan,cyan,darkgreen
508,RIMKLA,magenta,ivory,tan
509,ZMYND12,blue,blue,turquoise
510,PPCS,darkslateblue,brown4,darkred
511,CCDC30,paleturquoise,darkred,royalblue
512,TMSB4XP1,grey,grey,darkred
513,RNU6-536P,grey,grey,grey
514,PPIH,tan,grey60,turquoise
515,YBX1,lightgreen,brown,grey
516,P3H1,yellow,black,yellow
517,C1orf50,pink,pink,mediumpurple3
518,SVBP,purple,purple,greenyellow
519,ERMAP,grey,grey,grey
520,ZNF691,purple,purple,turquoise
521,ATP6V1E1P1,red,red,salmon
522,SLC2A1,lightcyan,lightcyan,lightcyan
523,SLC2A1-AS1,brown,brown,green
524,RNU6-880P,grey,grey,grey
525,EBNA1BP2,brown4,brown4,darkred
526,CFAP57,grey,grey,grey
527,TMEM125,skyblue,skyblue,orangered4
528,TIE1,grey,grey,grey
529,MPL,brown,brown,green
530,CDC20,blue,blue,turquoise
531,ELOVL1,skyblue,skyblue,orangered4
532,MED8,blue,blue,turquoise
533,SZT2,yellow,black,yellow
534,SZT2-AS1,yellow,black,yellow
535,HYI,blue,blue,turquoise
536,HYI-AS1,grey,grey,grey
537,PTPRF,yellow,black,yellow
538,KDM4A,cyan,cyan,yellow
539,ST3GAL3,ivory,ivory,tan
540,MIR6079,grey,grey,grey
541,IPO13,magenta,ivory,tan
542,DPH2,blue,blue,turquoise
543,ATP6V0B,tan,grey60,turquoise
544,B4GALT2,blue,blue,turquoise
545,CCDC24,blue,blue,turquoise
546,SLC6A9,brown,brown,green
547,DMAP1,brown,brown,sienna3
548,ERI3,tan,grey60,turquoise
549,ERI3-IT1,yellow,black,yellow
550,RNF220,thistle2,thistle2,thistle2
551,MIR5584,grey,grey,green
552,TMEM53,blue,blue,turquoise
553,C1orf228,brown,brown,sienna3
554,RNU5F-1,turquoise,turquoise,darkred
555,RNU5D-1,turquoise,turquoise,brown
556,KIF2C,magenta,ivory,sienna3
557,RPS8,blue,blue,thistle1
558,SNORD46,turquoise,turquoise,darkred
559,BEST4,blue,blue,turquoise
560,PLK3,royalblue,royalblue,darkorange
561,BTBD19,yellow,black,yellow
562,PTCH2,yellow,black,yellow
563,EIF2B3,lightyellow,lightyellow,darkred
564,HECTD3,yellow,black,yellow
565,UROD,tan,grey60,turquoise
566,ZSWIM5,yellow,black,sienna3
567,OSTCP5,royalblue,royalblue,grey
568,LINC01144,brown,brown,sienna3
569,HPDL,midnightblue,midnightblue,turquoise
570,MUTYH,brown,brown,sienna3
571,TOE1,blue,blue,turquoise
572,TESK2,darkgrey,darkgrey,grey
573,CCDC163P,green,white,grey
574,MMACHC,blue,blue,turquoise
575,PRDX1,pink,pink,mediumpurple3
576,AKR1A1,grey60,grey60,turquoise
577,NASP,red,red,salmon
578,CCDC17,brown,brown,grey
579,GPBP1L1,green,white,brown
580,RPS15AP10,grey,grey,grey
581,TMEM69,blue,blue,turquoise
582,IPP,turquoise,turquoise,brown
583,MAST2,yellow,black,yellow
584,PIK3R3,midnightblue,midnightblue,grey
585,TSPAN1,brown,brown,sienna3
586,POMGNT1,blue,blue,turquoise
587,LURAP1,magenta,ivory,tan
588,RAD54L,yellow,black,yellow
589,LRRC41,magenta,ivory,sienna3
590,UQCRH,lightyellow,lightyellow,mediumpurple3
591,NSUN4,brown,brown,sienna3
592,FAAH,blue,blue,turquoise
593,FAAHP1,royalblue,royalblue,yellow
594,KNCN,yellow,black,yellow
595,MKNK1,magenta,ivory,sienna3
596,MOB3C,greenyellow,greenyellow,grey
597,ATPAF1,grey,grey,grey
598,NENFP1,yellow,black,green
599,EFCAB14,green,white,brown
600,CYP4X1,magenta,ivory,tan
601,CYP4Z1,yellow,black,yellow
602,CYP4A22-AS1,grey,grey,darkred
603,MTND1P34,darkred,darkred,grey
604,LINC00853,grey,grey,grey
605,TAL1,greenyellow,greenyellow,cyan
606,STIL,grey,grey,grey
607,CMPK1,turquoise,turquoise,darkred
608,SPATA6,turquoise,turquoise,brown
609,PPP1R8P1,grey,grey,grey
610,AGBL4,yellow,black,yellow
611,BEND5,lightyellow,lightyellow,grey
612,AGBL4-IT1,turquoise,turquoise,brown
613,ELAVL4,grey,grey,grey
614,FAF1,grey,grey,darkred
615,CDKN2C,pink,pink,grey
616,LINC01562,grey,grey,grey
617,RNF11,pink,pink,mediumpurple3
618,TTC39A,blue,blue,sienna3
619,EPS15,turquoise,turquoise,darkred
620,OSBPL9,darkorange2,darkorange2,midnightblue
621,SLC25A6P3,yellow,black,yellow
622,NRDC,turquoise,turquoise,darkred
623,RAB3B,orangered4,orangered4,grey
624,TXNDC12,brown4,brown4,grey
625,KTI12,grey60,grey60,turquoise
626,BTF3L4,turquoise,turquoise,plum1
627,ZFYVE9,grey,grey,grey
628,RN7SL788P,turquoise,turquoise,grey
629,PDCL3P6,grey,grey,grey
630,ANAPC10P1,darkred,darkred,brown
631,CC2D1B,blue,blue,tan
632,PLA2G12AP1,grey,grey,grey
633,ORC1,grey,grey,grey
634,PRPF38A,salmon,salmon,royalblue
635,ZCCHC11,paleturquoise,darkred,royalblue
636,GPX7,blue,blue,turquoise
637,COA7,grey,grey,grey
638,ZYG11B,turquoise,turquoise,darkred
639,RPS13P2,darkmagenta,darkmagenta,grey
640,ECHDC2,grey,grey,grey
641,SCP2,pink,pink,darkred
642,MIR1273F,turquoise,turquoise,grey
643,MIR1273G,turquoise,turquoise,darkred
644,PODN,yellow,black,yellow
645,CPT2,skyblue,skyblue,turquoise
646,C1orf123,tan,grey60,turquoise
647,MAGOH,skyblue3,darkorange,floralwhite
648,LRP8,grey,grey,turquoise
649,GLIS1,lightgreen,brown,green
650,NDC1,green,white,darkred
651,YIPF1,purple,purple,turquoise
652,HSPB11,turquoise,turquoise,darkred
653,LRRC42,grey,grey,grey
654,TMEM59,pink,pink,mediumpurple3
655,TCEANC2,green,white,grey60
656,CYB5RL,yellow,black,yellow
657,MRPL37,blue,blue,turquoise
658,SSBP3,yellow,black,green
659,ACOT11,grey,grey,grey
660,MROH7,grey,grey,grey
661,TTC4,pink,pink,mediumpurple3
662,PARS2,blue,blue,turquoise
663,DHCR24,brown,brown,green
664,USP24,green,white,midnightblue
665,PLPP3,sienna3,sienna3,paleturquoise
666,PRKAA2,darkorange2,darkorange2,brown
667,C1orf168,lightcyan,lightcyan,grey
668,DAB1,darkturquoise,darkturquoise,steelblue
669,RPS20P5,grey,grey,grey
670,HNRNPA1P6,salmon,salmon,royalblue
671,RPS26P15,green,white,brown
672,OMA1,darkred,darkred,brown
673,MYSM1,turquoise,turquoise,midnightblue
674,JUN,mediumpurple3,mediumpurple3,royalblue
675,LINC01135,brown,brown,sienna3
676,FGGY,turquoise,turquoise,darkred
677,HOOK1,white,white,grey60
678,CYP2J2,grey,grey,grey
679,NFIA,grey,grey,brown
680,NFIA-AS2,grey,grey,grey
681,TM2D1,pink,pink,mediumpurple3
682,PATJ,red,red,midnightblue
683,LAMTOR5P1,brown,brown,green
684,KANK4,yellow,black,sienna3
685,USP1,turquoise,turquoise,brown
686,DOCK7,green,white,brown
687,ATG4C,green,white,brown
688,ALG6,turquoise,turquoise,brown
689,ITGB3BP,grey,grey,grey
690,EFCAB7,salmon,salmon,lightgreen
691,DLEU2L,green,white,brown
692,PGM1,tan,grey60,turquoise
693,RN7SL130P,grey,grey,grey
694,ROR1,grey,grey,darkred
695,CACHD1,grey,grey,grey
696,RAVER2,bisque4,bisque4,grey60
697,JAK1,grey,grey,midnightblue
698,LINC01359,midnightblue,midnightblue,darkred
699,SLC2A3P2,midnightblue,midnightblue,darkred
700,RNU6-1176P,midnightblue,midnightblue,darkred
701,MIR3671,lightyellow,lightyellow,darkred
702,MIR101-1,turquoise,turquoise,brown
703,AK4,sienna3,sienna3,paleturquoise
