Order,Symbol,dynamicColors_GRS5_prot,mergedColors,consensus_GRS5
1,WASH7P,purple,purple,turquoise
2,MIR6859-1,grey60,grey60,greenyellow
3,RPL23AP24,green,white,grey
4,MTND1P23,yellow,black,lightyellow
5,MTND2P28,magenta,ivory,sienna3
6,MTCO1P12,darkmagenta,darkmagenta,grey
7,MTCO2P12,yellow,black,yellow
8,MTATP6P1,magenta,ivory,sienna3
9,MTCO3P12,grey,grey,grey
10,LINC01128,black,black,lightyellow
11,LINC00115,grey,grey,grey
12,SAMD11,lightcyan,lightcyan,lightcyan
13,NOC2L,blue,blue,greenyellow
14,KLHL17,lightgreen,brown,green
15,HES4,plum1,plum1,green
16,ISG15,lightyellow,lightyellow,mediumpurple3
17,AGRN,yellow,black,yellow
18,C1orf159,brown,brown,green
19,TNFRSF18,brown,brown,greenyellow
20,SDF4,lightgreen,brown,yellow
21,B3GALT6,blue,blue,turquoise
22,UBE2J2,brown,brown,green
23,SCNN1D,lightgreen,brown,green
24,ACAP3,lightgreen,brown,green
25,PUSL1,plum1,plum1,green
26,CPSF3L,yellow,black,yellow
27,CPTP,lightgreen,brown,green
28,DVL1,lightgreen,brown,green
29,MXRA8,lightcyan,lightcyan,lightcyan
30,AURKAIP1,plum1,plum1,white
31,CCNL2,midnightblue,midnightblue,darkred
32,MRPL20,brown4,brown4,mediumpurple3
33,ANKRD65,grey60,grey60,turquoise
34,TMEM88B,tan,grey60,turquoise
35,VWA1,blue,blue,green
36,ATAD3C,yellow,black,yellow
37,ATAD3B,blue,blue,turquoise
38,ATAD3A,plum1,plum1,green
39,TMEM240,brown,brown,green
40,SSU72,brown,brown,sienna3
41,FNDC10,blue,blue,tan
42,MIB2,lightgreen,brown,green
43,CDK11B,yellow,black,yellow
44,SLC35E2B,blue,blue,turquoise
45,CDK11A,brown,brown,yellow
46,SLC35E2,blue,blue,turquoise
47,NADK,brown,brown,green
48,GNB1,ivory,ivory,tan
49,CALML6,blue,blue,turquoise
50,TMEM52,blue,blue,tan
51,CFAP74,yellow,black,green
52,GABRD,blue,blue,turquoise
53,PRKCZ,lightgreen,brown,green
54,FAAP20,brown,brown,green
55,SKI,black,black,yellow
56,MORN1,blue,blue,turquoise
57,RER1,blue,blue,turquoise
58,PEX10,blue,blue,turquoise
59,PLCH2,lightgreen,brown,green
60,PANK4,brown,brown,green
