Order,Symbol,dynamicColors_GS5_prot,mergedColors,consensus_GS5
350,SNHG12,sienna3,sienna3,purple
351,SNORD99,green,brown4,blue
352,TAF12,purple,purple,salmon
353,GMEB1,pink,pink,grey
354,YTHDF2,turquoise,turquoise,brown
355,OPRD1,yellow,black,plum2
356,EPB41,grey,grey,blue
357,TMEM200B,white,darkorange,grey
358,SRSF4,darkgreen,darkgreen,greenyellow
359,MECR,blue,blue,green
360,PTPRU,brown,brown,plum2
361,MATN1-AS1,skyblue,skyblue,grey
362,LAPTM5,magenta,magenta,cyan
363,SDC3,black,black,green
364,PUM1,brown,brown,plum2
365,NKAIN1,blue,blue,green
366,SNRNP40,blue,blue,midnightblue
367,ZCCHC17,turquoise,turquoise,purple
368,FABP3,greenyellow,blue,midnightblue
369,TINAGL1,grey60,grey60,grey60
370,HCRTR1,yellow,black,green
371,PEF1,blue,blue,green
372,COL16A1,blue,blue,green
373,ADGRB2,brown,brown,plum2
374,MIR4254,blue,blue,green
375,PTP4A2,green,brown4,blue
376,KHDRBS1,green,brown4,blue
377,TMEM39B,pink,pink,magenta
378,MIR5585,grey,grey,grey
379,KPNA6,pink,pink,magenta
380,TXLNA,yellow,black,plum2
381,CCDC28B,greenyellow,blue,green
382,IQCC,blue,blue,green
383,TMEM234,blue,blue,green
384,EIF3I,greenyellow,blue,midnightblue
385,MTMR9LP,purple,purple,plum2
386,HDAC1,skyblue3,saddlebrown,grey
387,MARCKSL1,orange,orange,violet
388,TSSK3,blue,blue,green
389,FAM229A,brown,brown,plum2
390,BSDC1,blue,blue,green
391,ZBTB8B,mediumpurple3,darkolivegreen,darkred
392,ZBTB8A,turquoise,turquoise,brown
393,ZBTB8OS,turquoise,turquoise,mediumpurple3
394,RBBP4,turquoise,turquoise,brown
395,SYNC,turquoise,turquoise,brown
396,KIAA1522,brown,brown,plum2
397,YARS,brown,brown,plum2
398,S100PBP,grey,grey,blue
399,FNDC5,blue,blue,green
400,HPCA,pink,pink,green
401,TMEM54,blue,blue,green
402,RNF19B,brown,brown,plum2
403,AK2,blue,blue,green
404,AZIN2,yellow,black,plum2
405,TRIM62,brown,brown,pink
406,ZNF362,yellow,black,plum2
407,PHC2,pink,pink,magenta
408,RN7SKP16,grey,grey,pink
409,ZSCAN20,yellow,black,plum2
410,CSMD2,cyan,brown,pink
411,SMIM12,blue,blue,green
412,GJB5,pink,pink,green
413,GJA4,grey60,grey60,grey
414,DLGAP3,yellow,black,plum2
415,ZMYM6,green,brown4,lightcyan
416,ZMYM1,green,brown4,blue
417,SFPQ,mediumpurple3,darkolivegreen,darkred
418,ZMYM4,salmon,salmon,greenyellow
419,RPL5P4,skyblue3,saddlebrown,tan
420,KIAA0319L,pink,pink,green
421,NCDN,brown,brown,plum2
422,TFAP2E,brown,brown,plum2
423,PSMB2,greenyellow,blue,green
424,C1orf216,greenyellow,blue,midnightblue
425,CLSPN,turquoise,turquoise,brown
426,AGO4,darkorange,darkorange,royalblue
427,AGO1,midnightblue,midnightblue,pink
428,AGO3,lightgreen,lightgreen,greenyellow
429,TEKT2,yellow,black,plum2
430,ADPRHL2,purple,purple,green
431,COL8A2,magenta,magenta,cyan
432,TRAPPC3,darkslateblue,darkslateblue,purple
433,MAP7D1,brown,brown,plum2
434,THRAP3,white,darkorange,tan
435,SH3D21,brown,brown,plum2
436,EVA1B,yellow,black,plum2
437,STK40,darkolivegreen,darkolivegreen,plum2
438,LSM10,purple,purple,plum2
439,OSCP1,greenyellow,blue,green
440,MRPS15,lightcyan1,lightcyan1,paleturquoise
441,CSF3R,magenta,magenta,cyan
442,GRIK3,orangered4,orangered4,orangered4
443,LINC01137,grey,grey,grey
444,ZC3H12A,darkred,darkred,darkturquoise
445,MEAF6,tan,tan,brown
446,MIR5581,grey,grey,grey
447,SNIP1,plum1,plum1,brown
448,DNALI1,brown,brown,grey
449,GNL2,turquoise,turquoise,brown
450,C1orf109,turquoise,turquoise,purple
451,CDCA8,blue,blue,green
452,EPHA10,blue,blue,green
453,MANEAL,pink,pink,magenta
454,YRDC,tan,tan,purple
455,C1orf122,lightcyan,lightcyan,midnightblue
456,MTF1,midnightblue,midnightblue,plum2
457,INPP5B,brown,brown,grey
458,SF3A3,greenyellow,blue,floralwhite
459,FHL3,blue,blue,green
460,UTP11,turquoise,turquoise,brown
461,POU3F1,yellow,black,plum2
462,RRAGC,red,darkgrey,brown
463,MYCBP,yellow,black,grey
464,RHBDL2,orange,orange,violet
465,RNU6-605P,grey,grey,grey
466,AKIRIN1,red,darkgrey,brown
467,NDUFS5,lightcyan,lightcyan,floralwhite
468,MACF1,midnightblue,midnightblue,greenyellow
469,BMP8A,black,black,plum2
470,OXCT2P1,grey,grey,plum2
471,PPIEL,brown,brown,grey
472,PABPC4,cyan,brown,pink
473,SNORA55,turquoise,turquoise,grey
474,HEYL,grey60,grey60,grey60
475,NT5C1A,yellow,black,plum2
476,HPCAL4,brown,brown,plum2
477,PPIE,turquoise,turquoise,brown
478,BMP8B,yellow,black,plum2
479,OXCT2,blue,blue,grey
480,TRIT1,turquoise,turquoise,brown
481,MYCL,purple,purple,salmon
482,MFSD2A,yellow,black,grey
483,CAP1,blue,blue,green
484,PPT1,lightcyan,lightcyan,midnightblue
485,RLF,yellowgreen,darkgrey,blue
486,RNU6-1237P,grey,grey,grey
487,ZMPSTE24,red,darkgrey,lightcyan
488,COL9A2,blue,blue,green
489,SMAP2,pink,pink,magenta
490,ZFP69B,grey,grey,grey
491,ZFP69,grey,grey,grey
492,EXO5,blue,blue,green
493,ZNF684,turquoise,turquoise,brown
494,RIMS3,black,black,green
495,NFYC-AS1,salmon,salmon,grey
496,NFYC,yellow,black,plum2
497,MIR30E,grey,grey,grey
498,MIR30C1,blue,blue,grey
499,KCNQ4,yellow,black,magenta
500,CITED4,palevioletred3,palevioletred3,green
501,CTPS1,grey60,grey60,grey60
502,SLFNL1-AS1,grey,grey,grey
503,SLFNL1,paleturquoise,darkolivegreen,darkred
504,SCMH1,pink,pink,plum2
505,FOXO6,brown,brown,plum2
506,HIVEP3,cyan,brown,pink
507,FOXJ3,darkturquoise,darkturquoise,darkgrey
508,RIMKLA,pink,pink,plum2
509,ZMYND12,blue,blue,green
510,PPCS,turquoise,turquoise,brown
511,CCDC30,skyblue3,saddlebrown,greenyellow
512,TMSB4XP1,grey,grey,brown
513,RNU6-536P,brown,brown,grey
514,PPIH,blue,blue,midnightblue
515,YBX1,black,black,plum2
516,P3H1,brown,brown,plum2
517,C1orf50,turquoise,turquoise,brown
518,SVBP,palevioletred3,palevioletred3,green
519,ERMAP,darkmagenta,darkmagenta,grey
520,ZNF691,blue,blue,plum2
521,ATP6V1E1P1,grey,grey,blue
522,SLC2A1,grey60,grey60,grey
523,SLC2A1-AS1,yellow,black,plum2
524,RNU6-880P,grey,grey,grey
525,EBNA1BP2,turquoise,turquoise,brown
526,CFAP57,royalblue,royalblue,grey
527,TMEM125,orange,orange,violet
528,TIE1,darkmagenta,darkmagenta,grey
529,MPL,yellow,black,plum2
530,CDC20,blue,blue,green
531,ELOVL1,orange,orange,violet
532,MED8,blue,blue,salmon
533,SZT2,brown,brown,pink
534,SZT2-AS1,brown,brown,pink
535,HYI,blue,blue,green
536,HYI-AS1,grey,grey,grey
537,PTPRF,brown,brown,plum2
538,KDM4A,midnightblue,midnightblue,pink
539,ST3GAL3,pink,pink,magenta
540,MIR6079,grey,grey,grey
541,IPO13,pink,pink,magenta
542,DPH2,blue,blue,green
543,ATP6V0B,greenyellow,blue,midnightblue
544,B4GALT2,blue,blue,green
545,CCDC24,blue,blue,green
546,SLC6A9,yellow,black,plum2
547,DMAP1,lightsteelblue1,black,plum2
548,ERI3,blue,blue,green
549,ERI3-IT1,cyan,brown,plum2
550,RNF220,pink,pink,darkslateblue
551,MIR5584,grey,grey,plum2
552,TMEM53,blue,blue,green
553,C1orf228,yellow,black,plum2
554,RNU5F-1,turquoise,turquoise,brown
555,RNU5D-1,green,brown4,brown
556,KIF2C,pink,pink,magenta
557,RPS8,blue,blue,green
558,SNORD46,turquoise,turquoise,brown
559,BEST4,blue,blue,green
560,PLK3,darkred,darkred,darkturquoise
561,BTBD19,brown,brown,plum2
562,PTCH2,brown,brown,plum2
563,EIF2B3,lightcyan,lightcyan,brown
564,HECTD3,brown,brown,plum2
565,UROD,greenyellow,blue,midnightblue
566,ZSWIM5,brown,brown,plum2
567,OSTCP5,grey,grey,grey
568,LINC01144,yellow,black,plum2
569,HPDL,blue,blue,grey
570,MUTYH,yellow,black,plum2
571,TOE1,yellow,black,green
572,TESK2,skyblue,skyblue,grey
573,CCDC163P,grey,grey,grey
574,MMACHC,blue,blue,green
575,PRDX1,tan,tan,purple
576,AKR1A1,greenyellow,blue,midnightblue
577,NASP,salmon,salmon,tan
578,CCDC17,yellow,black,grey
579,GPBP1L1,red,darkgrey,blue
580,RPS15AP10,grey,grey,grey
581,TMEM69,blue,blue,green
582,IPP,turquoise,turquoise,brown
583,MAST2,brown,brown,plum2
584,PIK3R3,white,darkorange,grey
585,TSPAN1,brown,brown,plum2
586,POMGNT1,blue,blue,green
587,LURAP1,pink,pink,magenta
588,RAD54L,cyan,brown,darkred
589,LRRC41,pink,pink,magenta
590,UQCRH,lightcyan,lightcyan,midnightblue
591,NSUN4,yellow,black,plum2
592,FAAH,blue,blue,green
593,FAAHP1,brown,brown,pink
594,KNCN,brown,brown,plum2
595,MKNK1,brown,brown,magenta
596,MOB3C,magenta,magenta,grey
597,ATPAF1,grey,grey,grey
598,NENFP1,brown,brown,green
599,EFCAB14,violet,violet,lightcyan
600,CYP4X1,pink,pink,magenta
601,CYP4Z1,brown,brown,plum2
602,CYP4A22-AS1,grey,grey,grey
603,MTND1P34,grey,grey,grey
604,LINC00853,grey,grey,grey
605,TAL1,magenta,magenta,cyan
606,STIL,turquoise,turquoise,grey
607,CMPK1,turquoise,turquoise,brown
608,SPATA6,green,brown4,blue
609,PPP1R8P1,grey,grey,grey
610,AGBL4,brown,brown,plum2
611,BEND5,lightcyan,lightcyan,purple
612,AGBL4-IT1,green,brown4,blue
613,ELAVL4,red,darkgrey,grey
614,FAF1,white,darkorange,grey
615,CDKN2C,tan,tan,grey
616,LINC01562,grey,grey,grey
617,RNF11,tan,tan,brown
618,TTC39A,yellow,black,plum2
619,EPS15,green,brown4,blue
620,OSBPL9,lightyellow,brown4,blue
621,SLC25A6P3,brown,brown,pink
622,NRDC,turquoise,turquoise,brown
623,RAB3B,grey,grey,grey
624,TXNDC12,grey,grey,grey
625,KTI12,orange,orange,green
626,BTF3L4,bisque4,bisque4,floralwhite
627,ZFYVE9,grey,grey,grey
628,RN7SL788P,grey,grey,grey
629,PDCL3P6,grey,grey,grey
630,ANAPC10P1,salmon,salmon,greenyellow
631,CC2D1B,blue,blue,green
632,PLA2G12AP1,grey,grey,grey
633,ORC1,grey,grey,grey
634,PRPF38A,lightgreen,lightgreen,greenyellow
635,ZCCHC11,saddlebrown,saddlebrown,greenyellow
636,GPX7,blue,blue,green
637,COA7,grey,grey,grey
638,ZYG11B,turquoise,turquoise,brown
639,RPS13P2,plum1,plum1,lightcyan1
640,ECHDC2,darkmagenta,darkmagenta,grey
641,SCP2,tan,tan,brown
642,MIR1273F,turquoise,turquoise,grey
643,MIR1273G,turquoise,turquoise,brown
644,PODN,grey,grey,plum2
645,CPT2,orange,orange,midnightblue
646,C1orf123,blue,blue,floralwhite
647,MAGOH,darkgrey,darkgrey,darkorange
648,LRP8,grey,grey,grey
649,GLIS1,black,black,plum2
650,NDC1,turquoise,turquoise,brown
651,YIPF1,purple,purple,salmon
652,HSPB11,turquoise,turquoise,brown
653,LRRC42,grey,grey,purple
654,TMEM59,tan,tan,midnightblue
655,TCEANC2,red,darkgrey,greenyellow
656,CYB5RL,brown,brown,plum2
657,MRPL37,blue,blue,ivory
658,SSBP3,brown,brown,plum2
659,ACOT11,grey,grey,grey
660,MROH7,grey,grey,grey
661,TTC4,tan,tan,purple
662,PARS2,blue,blue,salmon
663,DHCR24,brown,brown,magenta
664,USP24,royalblue,royalblue,blue
665,PLPP3,violet,violet,yellowgreen
666,PRKAA2,green,brown4,blue
667,C1orf168,grey60,grey60,grey
668,DAB1,royalblue,royalblue,orange
669,RPS20P5,grey,grey,grey
670,HNRNPA1P6,grey,grey,grey
671,RPS26P15,red,darkgrey,blue
672,OMA1,green,brown4,greenyellow
673,MYSM1,lightyellow,brown4,blue
674,JUN,darkolivegreen,darkolivegreen,sienna3
675,LINC01135,brown,brown,plum2
676,FGGY,turquoise,turquoise,brown
677,HOOK1,yellowgreen,darkgrey,lightcyan
678,CYP2J2,red,darkgrey,lightcyan
679,NFIA,red,darkgrey,lightcyan
680,NFIA-AS2,grey,grey,grey
681,TM2D1,tan,tan,brown
682,PATJ,lightyellow,brown4,blue
683,LAMTOR5P1,yellow,black,plum2
684,KANK4,yellow,black,plum2
685,USP1,salmon,salmon,tan
686,DOCK7,violet,violet,blue
687,ATG4C,red,darkgrey,brown
688,ALG6,turquoise,turquoise,brown
689,ITGB3BP,grey,grey,grey
690,EFCAB7,lightgreen,lightgreen,greenyellow
691,DLEU2L,green,brown4,blue
692,PGM1,blue,blue,green
693,RN7SL130P,grey,grey,grey
694,ROR1,green,brown4,blue
695,CACHD1,grey,grey,grey
696,RAVER2,lightgreen,lightgreen,lightcyan
697,JAK1,lightyellow,brown4,grey
698,LINC01359,darkorange,darkorange,royalblue
699,SLC2A3P2,darkorange,darkorange,royalblue
700,RNU6-1176P,white,darkorange,royalblue
701,MIR3671,darkmagenta,darkmagenta,brown
702,MIR101-1,turquoise,turquoise,brown
703,AK4,violet,violet,yellowgreen
704,DNAJC6,grey,grey,grey
705,RNU2-15P,grey,grey,grey
706,LEPROT,turquoise,turquoise,brown
707,LEPR,grey60,grey60,blue
708,PDE4B,green,brown4,blue
709,SGIP1,darkturquoise,darkturquoise,darkgrey
710,MIR3117,turquoise,turquoise,brown
711,TCTEX1D1,turquoise,turquoise,brown
712,WDR78,lightyellow,brown4,blue
713,MIER1,red,darkgrey,lightcyan
714,SLC35D1,lightgreen,lightgreen,lightcyan
715,IL12RB2,brown,brown,plum2
716,SERBP1,floralwhite,darkgrey,darkorange
717,GADD45A,salmon,salmon,tan
718,GNG12,red,darkgrey,lightcyan
