Order,Symbol,dynamicColors_GS5_prot,mergedColors,consensus_GS5
1,WASH7P,blue,blue,salmon
2,MIR6859-1,lightcyan,lightcyan,salmon
3,RPL23AP24,grey,grey,grey
4,MTND1P23,grey,grey,magenta
5,MTND2P28,brown,brown,plum2
6,MTCO1P12,plum1,plum1,grey
7,MTCO2P12,brown,brown,green
8,MTATP6P1,brown,brown,plum2
9,MTCO3P12,grey,grey,grey
10,LINC01128,ivory,ivory,pink
11,LINC00115,grey,grey,grey
12,SAMD11,grey,grey,grey60
13,NOC2L,blue,blue,green
14,KLHL17,black,black,plum2
15,HES4,lightcyan1,lightcyan1,green
16,ISG15,lightcyan,lightcyan,paleturquoise
17,AGRN,yellow,black,plum2
18,C1orf159,black,black,plum2
19,TNFRSF18,yellow,black,plum2
20,SDF4,lightsteelblue1,black,plum2
21,B3GALT6,blue,blue,green
22,UBE2J2,navajowhite2,lightcyan1,plum2
23,SCNN1D,black,black,green
24,ACAP3,black,black,plum2
25,PUSL1,black,black,green
26,CPSF3L,brown,brown,plum2
27,CPTP,black,black,green
28,DVL1,black,black,plum2
29,MXRA8,grey60,grey60,grey60
30,AURKAIP1,lightcyan1,lightcyan1,paleturquoise
31,CCNL2,white,darkorange,grey
32,MRPL20,lightcyan,lightcyan,midnightblue
33,ANKRD65,blue,blue,green
34,TMEM88B,blue,blue,green
35,VWA1,black,black,green
36,ATAD3C,grey,grey,plum2
37,ATAD3B,blue,blue,green
38,ATAD3A,black,black,green
39,TMEM240,navajowhite2,lightcyan1,plum2
40,SSU72,purple,purple,plum2
41,FNDC10,pink,pink,green
42,MIB2,black,black,plum2
43,CDK11B,brown,brown,plum2
44,SLC35E2B,black,black,plum2
45,CDK11A,yellow,black,plum2
46,SLC35E2,blue,blue,green
47,NADK,black,black,plum2
48,GNB1,pink,pink,magenta
49,CALML6,blue,blue,green
50,TMEM52,pink,pink,green
51,CFAP74,brown,brown,green
52,GABRD,blue,blue,green
53,PRKCZ,black,black,green
54,FAAP20,yellow,black,plum2
55,SKI,cyan,brown,pink
56,MORN1,blue,blue,green
57,RER1,lightcyan1,lightcyan1,paleturquoise
58,PEX10,blue,blue,green
59,PLCH2,black,black,plum2
60,PANK4,lightsteelblue1,black,plum2
61,HES5,turquoise,turquoise,brown
62,TNFRSF14,black,black,plum2
63,FAM213B,blue,blue,green
64,TTC34,yellow,black,plum2
65,LINC00982,blue,blue,green
66,PRDM16,yellow,black,plum2
67,ARHGEF16,grey,grey,plum2
68,MEGF6,blue,blue,green
69,TPRG1L,blue,blue,green
70,WRAP73,yellow,black,plum2
71,TP73-AS1,yellow,black,plum2
72,LRRC47,brown,brown,plum2
73,CEP104,darkgreen,darkgreen,sienna3
74,DFFB,yellow,black,plum2
75,C1orf174,blue,blue,green
76,LINC01346,grey,grey,grey
77,AJAP1,midnightblue,midnightblue,pink
78,NPHP4,brown,brown,plum2
79,KCNAB2,yellow,black,plum2
80,CHD5,brown,brown,plum2
81,RPL22,darkorange2,darkorange2,mediumpurple3
82,RNF207,brown,brown,plum2
83,ICMT,greenyellow,blue,green
84,GPR153,black,black,plum2
85,ACOT7,brown,brown,plum2
86,TNFRSF25,darkolivegreen,darkolivegreen,darkred
87,PLEKHG5,black,black,plum2
88,NOL9,grey,grey,plum2
89,ZBTB48,blue,blue,green
90,KLHL21,yellow,black,darkred
91,PHF13,midnightblue,midnightblue,pink
92,THAP3,purple,purple,salmon
93,DNAJC11,black,black,plum2
94,CAMTA1,steelblue,ivory,magenta
95,RNU1-8P,grey,grey,grey
96,CAMTA1-IT1,brown,brown,plum2
97,VAMP3,green,brown4,blue
98,PER3,grey,grey,blue
99,PARK7,greenyellow,blue,midnightblue
100,ERRFI1,red,darkgrey,lightcyan
101,SLC45A1,pink,pink,magenta
102,RERE,midnightblue,midnightblue,pink
103,RPL7P7,grey,grey,grey
104,ENO1,blue,blue,midnightblue
105,ENO1-IT1,grey,grey,grey
106,ENO1-AS1,brown,brown,grey
107,SLC2A5,magenta,magenta,cyan
108,GPR157,royalblue,royalblue,grey
109,MIR34A,blue,blue,green
110,H6PD,greenyellow,blue,ivory
111,SPSB1,yellow,black,plum2
112,SLC25A33,turquoise,turquoise,brown
113,TMEM201,brown,brown,plum2
114,PIK3CD,brown,brown,plum2
115,CLSTN1,cyan,brown,pink
116,CTNNBIP1,blue,blue,green
117,LZIC,darkgrey,darkgrey,lightcyan
118,NMNAT1,darkgrey,darkgrey,darkorange
119,RN7SKP269,yellow,black,green
120,MIR5697,salmon,salmon,tan
121,RBP7,orange,orange,violet
122,UBE4B,cyan,brown,pink
123,PGAM1P11,grey,grey,pink
124,RNU6-828P,grey,grey,grey
125,KIF1B,midnightblue,midnightblue,steelblue
126,MIR1273D,grey,grey,grey
127,RNU6-37P,salmon,salmon,tan
128,PGD,yellow,black,plum2
129,APITD1,turquoise,turquoise,brown
130,CORT,greenyellow,blue,midnightblue
131,DFFA,paleturquoise,darkolivegreen,plum2
132,PEX14,blue,blue,plum2
133,RN7SL614P,blue,blue,grey
134,TARDBP,lightgreen,lightgreen,darkorange
135,SRM,brown,brown,plum2
136,EXOSC10,pink,pink,green
137,MTOR,ivory,ivory,magenta
138,UBIAD1,brown,brown,plum2
139,DISP3,pink,pink,plum2
140,FBXO2,greenyellow,blue,green
141,FBXO44,blue,blue,green
142,FBXO6,blue,blue,green
143,MAD2L2,greenyellow,blue,green
144,DRAXIN,pink,pink,orange
145,AGTRAP,purple,purple,salmon
146,MTHFR,black,black,plum2
147,CLCN6,brown,brown,plum2
148,NPPA,grey,grey,green
149,RNU5E-1,grey,grey,greenyellow
150,KIAA2013,blue,blue,green
151,PLOD1,paleturquoise,darkolivegreen,darkred
152,MFN2,pink,pink,magenta
153,MIIP,purple,purple,plum2
154,TNFRSF1B,darkred,darkred,darkturquoise
155,VPS13D,steelblue,ivory,steelblue
156,SNORA59A,purple,purple,salmon
157,DHRS3,yellow,black,plum2
158,LRRC38,grey,grey,grey
159,PDPN,grey,grey,grey
160,PRDM2,midnightblue,midnightblue,pink
161,KAZN,cyan,brown,plum2
162,TMEM51-AS1,yellow,black,plum2
163,TMEM51,grey,grey,grey
164,FHAD1,cyan,brown,pink
165,EFHD2,black,black,plum2
166,CASP9,brown,brown,plum2
167,DNAJC16,steelblue,ivory,steelblue
168,AGMAT,blue,blue,green
169,CHCHD2P6,yellow,black,plum2
170,DDI2,darkturquoise,darkturquoise,darkgrey
171,PLEKHM2,black,black,plum2
172,SLC25A34,brown,brown,plum2
173,FBLIM1,grey60,grey60,grey60
174,UQCRHL,blue,blue,green
175,SPEN,midnightblue,midnightblue,pink
176,ZBTB17,black,black,plum2
177,C1orf64,darkred,darkred,darkturquoise
178,HSPB7,tan,tan,grey
179,FAM131C,blue,blue,green
180,EPHA2,darkred,darkred,darkturquoise
181,ANO7P1,yellow,black,plum2
182,RSG1,blue,blue,green
183,MT1XP1,grey,grey,grey
184,FBXO42,midnightblue,midnightblue,plum2
185,SZRD1,yellow,black,plum2
186,NECAP2,purple,purple,plum2
187,CROCCP3,darkolivegreen,darkolivegreen,plum2
188,RNU1-1,lightgreen,lightgreen,darkred
189,NBPF1,purple,purple,grey
190,CROCCP2,black,black,green
191,MST1P2,yellow,black,plum2
192,EIF1AXP1,green,brown4,blue
193,CROCC,yellow,black,plum2
194,RNU1-4,plum1,plum1,lightcyan1
195,RNU1-2,brown,brown,plum2
196,ATP13A2,brown,brown,plum2
197,SDHB,lightcyan,lightcyan,floralwhite
198,PADI2,skyblue,skyblue,darkmagenta
199,RCC2,purple,purple,plum2
200,ARHGEF10L,black,black,plum2
201,IGSF21,brown,brown,magenta
202,PAX7,brown,brown,plum2
203,ALDH4A1,greenyellow,blue,green
204,IFFO2,brown,brown,plum2
205,UBR4,cyan,brown,pink
206,EMC1,cyan,brown,pink
207,MRTO4,lightcyan,lightcyan,midnightblue
208,AKR7L,grey,grey,grey
209,AKR7A3,yellow,black,plum2
210,AKR7A2,greenyellow,blue,midnightblue
211,RNU6-1099P,grey,grey,grey
212,PQLC2,black,black,plum2
213,CAPZB,grey,grey,green
214,MINOS1,tan,tan,purple
215,NBL1,blue,blue,green
216,HTR6,pink,pink,green
217,TMCO4,yellow,black,plum2
218,OTUD3,green,brown4,blue
219,PLA2G5,blue,blue,green
220,UBXN10-AS1,turquoise,turquoise,brown
221,UBXN10,pink,pink,magenta
222,LINC01141,yellow,black,plum2
223,CAMK2N1,midnightblue,midnightblue,pink
224,MUL1,blue,blue,plum2
225,FAM43B,yellow,black,plum2
226,PINK1,greenyellow,blue,midnightblue
227,PINK1-AS,grey,grey,grey
228,DDOST,blue,blue,midnightblue
229,KIF17,pink,pink,green
230,SH2D5,blue,blue,green
231,HP1BP3,lightgreen,lightgreen,darkred
232,EIF4G3,steelblue,ivory,pink
233,MIR1256,turquoise,turquoise,brown
234,RPS15AP6,grey,grey,blue
235,ECE1,brown,brown,plum2
236,NBPF2P,grey,grey,grey
237,HS6ST1P1,brown,brown,plum2
238,NBPF3,grey,grey,grey
239,ALPL,yellow,black,plum2
240,RAP1GAP,black,black,green
241,USP48,darkgreen,darkgreen,blue
242,HSPG2,grey60,grey60,grey60
243,LINC00339,grey,grey,grey
244,CDC42,tan,tan,brown
245,CDC42-IT1,grey,grey,grey
246,WNT4,yellow,black,plum2
247,ZBTB40,darkolivegreen,darkolivegreen,darkred
248,ZBTB40-IT1,grey,grey,grey
249,EPHA8,brown,brown,plum2
250,C1QA,magenta,magenta,cyan
251,C1QC,magenta,magenta,cyan
252,C1QB,magenta,magenta,cyan
253,EPHB2,yellow,black,plum2
254,C1orf234,grey,grey,grey
255,KDM1A,turquoise,turquoise,brown
256,LUZP1,brown,brown,plum2
257,HTR1D,grey,grey,grey
258,LINC01355,lightgreen,lightgreen,lightcyan
259,HNRNPR,salmon4,salmon4,tan
260,ZNF436,black,black,grey
261,ZNF436-AS1,grey,grey,grey
262,TCEA3,grey,grey,grey
263,ASAP3,yellow,black,plum2
264,ID3,purple,purple,grey
265,RPL11,darkorange2,darkorange2,mediumpurple3
266,TCEB3,grey,grey,grey
267,TCEB3-AS1,grey,grey,grey
268,PITHD1,greenyellow,blue,midnightblue
269,LYPLA2,blue,blue,green
270,GALE,greenyellow,blue,midnightblue
271,HMGCL,greenyellow,blue,floralwhite
272,FUCA1,turquoise,turquoise,royalblue
273,PNRC2,lightgreen,lightgreen,darkred
274,SRSF10,floralwhite,darkgrey,darkorange
275,IFNLR1,brown,brown,plum2
276,STPG1,blue,blue,green
277,NIPAL3,brown,brown,plum2
278,RCAN3,turquoise,turquoise,brown
279,SRRM1,darkgreen,darkgreen,greenyellow
280,CLIC4,turquoise,turquoise,brown
281,SYF2,salmon,salmon,tan
282,RSRP1,turquoise,turquoise,purple
283,SDHDP6,grey,grey,salmon
284,TMEM50A,turquoise,turquoise,brown
285,RHCE,grey,grey,grey
286,TMEM57,salmon,salmon,greenyellow
287,LDLRAP1,yellow,black,plum2
288,MAN1C1,brown,brown,plum2
289,SEPN1,yellow,black,plum2
290,MTFR1L,blue,blue,plum2
291,AUNIP,turquoise,turquoise,brown
292,PAQR7,greenyellow,blue,ivory
293,STMN1,turquoise,turquoise,brown
294,PAFAH2,grey,grey,grey
295,EXTL1,black,black,plum2
296,PDIK1L,floralwhite,darkgrey,darkorange
297,FAM110D,purple,purple,salmon
298,ZNF593,blue,blue,green
299,CNKSR1,yellow,black,plum2
300,CEP85,blue,blue,plum2
301,SH3BGRL3,purple,purple,salmon
302,UBXN11,black,black,plum2
303,CD52,purple,purple,salmon
304,DHDDS,blue,blue,ivory
305,HMGN2,turquoise,turquoise,brown
306,RPS6KA1,magenta,magenta,cyan
307,ARID1A,cyan,brown,pink
308,PIGV,blue,blue,plum2
309,ZDHHC18,yellow,black,plum2
310,GPN2,yellow,black,plum2
311,GPATCH3,greenyellow,blue,green
312,NUDC,yellow,black,plum2
313,TRNP1,yellow,black,plum2
314,SLC9A1,cyan,brown,pink
315,CHCHD3P3,brown,brown,plum2
316,NPM1P39,grey,grey,greenyellow
317,WDTC1,brown,brown,plum2
318,TMEM222,blue,blue,green
319,RNU6-48P,cyan,brown,pink
320,ACTG1P20,brown,brown,plum2
321,MAP3K6,brown,brown,plum2
322,GPR3,pink,pink,green
323,WASF2,brown,brown,plum2
324,AHDC1,cyan,brown,pink
325,FGR,grey60,grey60,grey
326,IFI6,greenyellow,blue,midnightblue
327,FAM76A,darkorange,darkorange,royalblue
328,RPEP3,magenta,magenta,grey
329,STX12,turquoise,turquoise,brown
330,PPP1R8,lightcyan,lightcyan,purple
331,SCARNA1,red,darkgrey,grey
332,THEMIS2,brown,brown,magenta
333,RPA2,lightcyan,lightcyan,brown
334,SMPDL3B,orangered4,orangered4,plum2
335,XKR8,yellow,black,plum2
336,EYA3,grey,grey,salmon4
337,RN7SL559P,pink,pink,green
338,SPCS2P4,grey,grey,grey
339,PTAFR,magenta,magenta,cyan
340,DNAJC8,turquoise,turquoise,brown
341,ATPIF1,palevioletred3,palevioletred3,darkorange2
342,SESN2,paleturquoise,darkolivegreen,darkred
343,MED18,lightcyan,lightcyan,midnightblue
344,PHACTR4,midnightblue,midnightblue,greenyellow
345,RNU6ATAC27P,grey,grey,grey
346,RCC1,paleturquoise,darkolivegreen,darkred
347,SNHG3,grey,grey,grey
348,SNORA73B,sienna3,sienna3,lightsteelblue1
349,TRNAU1AP,purple,purple,grey
